"Date","Match","Result","Score","Competition"
"05 Sep 1984","Algeria v Argentina","D","0-0","Merdeka Tournament"
"05 Jun 2007","Argentina v Algeria","L","4-3","International Friendly"
"31 May 2014","Algeria v Armenia","W","3-1","International Friendly"
"21 Jun 1982","Algeria v Austria","L","0-2","FIFA World Cup"
"10 Jul 1988","Algeria v Bahrain","D","0-0","Arab Cup"
"19 May 1992","Bahrain v Algeria","D","0-0","International Friendly"
"14 May 2002","Belgium v Algeria","D","0-0","International Friendly"
"12 Feb 2003","Algeria v Belgium","L","1-3","International Friendly"
"17 Jun 2014","Belgium v Algeria","L","2-1","FIFA World Cup"
"14 Nov 2012","Algeria v Bosnia and Herzegovina","L","0-1","International Friendly"
"17 Jun 1965","Algeria v Brazil","L","0-3","International Friendly"
"03 Jun 1973","Algeria v Brazil","L","0-2","International Friendly"
"06 Jun 1986","Brazil v Algeria","L","1-0","FIFA World Cup"
"22 Aug 2007","Brazil v Algeria","L","2-0","International Friendly"
"06 Jan 1963","Algeria v Bulgaria","W","2-1","International Friendly"
"11 Jan 1977","Algeria v Bulgaria","D","1-1","International Friendly"
"07 Aug 1983","Algeria v Bulgaria","L","2-3","International Friendly"
"05 Jun 1998","Bulgaria v Algeria","L","2-0","International Friendly"
"05 Nov 1998","Bulgaria v Algeria","D","0-0","International Friendly"
"14 Nov 2000","Algeria v Bulgaria","L","1-2","International Friendly"
"14 Mar 1984","Cameroon v Algeria","L","0-0","Africa Cup of Nations"
"14 Mar 1986","Cameroon v Algeria","L","3-2","Africa Cup of Nations"
"15 Feb 1991","Cameroon v Algeria","L","0-0","Afrique Foot"
"28 Nov 1995","Algeria v Cameroon","W","4-0","Belier Africa Tournament"
"15 Feb 1998","Cameroon v Algeria","L","2-1","Africa Cup of Nations"
"06 Feb 2000","Cameroon v Algeria","L","2-1","Africa Cup of Nations"
"25 Jan 2004","Algeria v Cameroon","D","1-1","Africa Cup of Nations"
"09 Oct 2016","Algeria v Cameroon","D","1-1","FIFA World Cup"
"16 Oct 1984","Algeria v Canada","W","1-0","International Friendly"
"30 Jul 1982","China PR v Algeria","L","3-0","Great Wall"
"30 Aug 1984","China PR v Algeria","D","1-1","Merdeka Tournament"
"28 Apr 2004","Algeria v China PR","L","0-1","International Friendly"
"09 Jun 1974","Algeria v Cuba","L","0-1","International Friendly"
"26 Feb 1963","Algeria v Czechoslovakia","L","0-2","A v OT"
"28 Feb 1963","Algeria v Czechoslovakia","W","4-0","A v OT"
"12 Feb 1989","Algeria v Denmark","D","0-0","Rothmans Tournament"
"22 Mar 1964","Egypt v Algeria","D","2-2","International Friendly"
"19 Sep 1969","Egypt v Algeria","L","1-0","Africa Cup of Nations"
"28 Sep 1969","Algeria v Egypt","D","1-1","Africa Cup of Nations"
"01 Oct 1974","Algeria v Egypt","L","1-3","Arab Cup, Damascus"
"29 Aug 1975","Algeria v Egypt","W","1-0","Mediterranean Games"
"13 Jul 1978","Algeria v Egypt","D","1-1","African Games"
"19 Mar 1980","Algeria v Egypt","W","2-2","Africa Cup of Nations"
"31 Jul 1983","Egypt v Algeria","L","1-0","Palestine Cup"
"17 Mar 1984","Algeria v Egypt","W","3-1","Africa Cup of Nations"
"08 Oct 1989","Algeria v Egypt","D","0-0","FIFA World Cup"
"17 Nov 1989","Egypt v Algeria","L","1-0","FIFA World Cup"
"08 Mar 1990","Algeria v Egypt","W","2-0","Africa Cup of Nations"
"08 Jan 1995","Algeria v Egypt","W","1-0","Africa Cup of Nations"
"14 Jul 1995","Egypt v Algeria","D","1-1","Africa Cup of Nations"
"20 Dec 1997","Egypt v Algeria","W","1-2","International Friendly"
"24 Dec 1997","Egypt v Algeria","W","1-2","International Friendly"
"11 Mar 2001","Egypt v Algeria","L","5-2","FIFA World Cup"
"21 Jul 2001","Algeria v Egypt","D","1-1","FIFA World Cup"
"29 Jan 2004","Algeria v Egypt","W","2-1","Africa Cup of Nations"
"07 Jun 2009","Algeria v Egypt","W","3-1","FIFA World Cup"
"14 Nov 2009","Egypt v Algeria","L","2-0","FIFA World Cup"
"18 Nov 2009","Algeria v Egypt","W","1-0","FIFA World Cup"
"28 Jan 2010","Algeria v Egypt","L","0-4","Africa Cup of Nations"
"11 Dec 1990","Algeria v England","D","0-0","A v B"
"18 Jun 2010","England v Algeria","D","0-0","FIFA World Cup"
"08 Feb 1989","Algeria v Finland","W","2-0","Rothmans Tournament"
"07 Sep 1967","Algeria v France","L","1-3","Mediterranean Games"
"24 Aug 1975","Algeria v France","W","2-0","Mediterranean Games"
"06 Sep 1975","Algeria v France","W","3-2","Mediterranean Games"
"21 Sep 1979","Algeria v France","D","1-1","Mediterranean Games"
"15 Sep 1987","Algeria v France","W","4-0","Mediterranean Games"
"06 Oct 2001","France v Algeria","L","4-1","International Friendly"
"01 Jan 1964","Algeria v West Germany","W","2-0","International Friendly"
"16 Jun 1982","Algeria v Germany","W","2-1","FIFA World Cup"
"30 Jun 2014","Germany v Algeria","L","2-1","FIFA World Cup"
"12 Jan 1973","Ghana v Algeria","L","2-0","African Games"
"26 Jul 1978","Algeria v Ghana","W","2-0","African Games"
"09 Mar 1980","Ghana v Algeria","D","0-0","Africa Cup of Nations"
"16 Mar 1982","Ghana v Algeria","L","3-2","Africa Cup of Nations"
"30 Sep 1983","Algeria v Ghana","W","1-0","Merdeka Tournament"
"08 Mar 1984","Ghana v Algeria","W","0-2","Africa Cup of Nations"
"28 Jul 1984","Algeria v Ghana","D","1-1","International Friendly"
"28 Dec 1984","Ghana v Algeria","L","2-1","International Friendly"
"20 Dec 1992","Ghana v Algeria","L","2-0","FIFA World Cup"
"26 Feb 1993","Algeria v Ghana","W","2-1","FIFA World Cup"
"05 Dec 2001","Algeria v Ghana","D","1-1","International Friendly"
"23 Jan 2015","Ghana v Algeria","L","1-0","Africa Cup of Nations"
"26 Aug 1975","Algeria v Greece","W","5-0","Mediterranean Games"
"29 Sep 1979","Algeria v Greece","W","2-1","Mediterranean Games"
"17 Sep 1987","Greece v Algeria","L","1-0","Mediterranean Games"
"13 Jul 1983","Hong Kong v Algeria","L","1-0","Great Wall Cup"
"28 Dec 1963","Algeria v Hungary","L","0-3","A v OT"
"16 Aug 1967","Hungary v Algeria","L","7-0","U v A"
"11 Dec 1985","Hungary v Algeria","L","3-1","Four Team Tournament, Mexico"
"30 Jun 1981","Algeria v Iran","W","1-0","International Friendly"
"27 Sep 1991","Iran v Algeria","L","2-1","Afro-Asian Cup of Nations"
"13 Oct 1991","Algeria v Iran","W","1-0","Afro-Asian Cup of Nations"
"15 Aug 1973","Algeria v Iraq","D","0-0","Palestine Cup"
"25 Aug 1973","Algeria v Iraq","W","0-0","Palestine Cup"
"22 Feb 1978","Iraq v Algeria","L","3-0","International Friendly"
"23 Feb 1978","Iraq v Algeria","L","1-0","International Friendly"
"02 Jul 1978","Algeria v Iraq","D","1-1","International Friendly"
"31 Jul 1983","Iraq v Algeria","L","4-2","Palestine Cup"
"09 Sep 1967","Algeria v Italy","L","0-2","Mediterranean Games"
"11 Nov 1989","Italy v Algeria","L","1-0","International Friendly"
"19 Jul 1965","Ivory Coast v Algeria","L","1-0","African Games"
"25 Jul 1965","Algeria v Ivory Coast","L","0-1","African Games"
"27 Jul 1965","Ivory Coast v Algeria","W","0-1","African Games"
"18 Nov 1965","Ivory Coast v Algeria","D","1-1","International Friendly"
"12 Jan 1968","Ivory Coast v Algeria","L","3-0","Africa Cup of Nations"
"23 Aug 1983","Algeria v Ivory Coast","W","3-0","International Friendly"
"01 Jan 1985","Ivory Coast v Algeria","D","1-1","International Friendly"
"11 Dec 1986","Algeria v Ivory Coast","W","2-1","International Friendly"
"14 Dec 1986","Algeria v Ivory Coast","W","2-1","International Friendly"
"13 Mar 1988","Algeria v Ivory Coast","D","1-1","Africa Cup of Nations"
"11 Jun 1989","Ivory Coast v Algeria","D","0-0","FIFA World Cup"
"25 Aug 1989","Algeria v Ivory Coast","W","1-0","FIFA World Cup"
"05 Mar 1990","Algeria v Ivory Coast","W","3-0","Africa Cup of Nations"
"13 Jan 1992","Algeria v Ivory Coast","L","0-3","Africa Cup of Nations"
"16 Apr 1993","Algeria v Ivory Coast","D","1-1","FIFA World Cup"
"18 Jul 1993","Ivory Coast v Algeria","L","1-0","FIFA World Cup"
"26 Nov 1995","Ivory Coast v Algeria","D","0-0","Belier Africa Tournament"
"02 Dec 1995","Ivory Coast v Algeria","L","0-0","Belier Africa Tournament"
"06 Oct 1996","Algeria v Ivory Coast","W","4-1","Africa Cup of Nations"
"22 Jun 1997","Ivory Coast v Algeria","L","2-1","Africa Cup of Nations"
"24 Jan 2010","Ivory Coast v Algeria","W","2-3","Africa Cup of Nations"
"30 Jan 2013","Algeria v Ivory Coast","D","2-2","Africa Cup of Nations"
"01 Feb 2015","Ivory Coast v Algeria","L","3-1","Africa Cup of Nations"
"30 Jan 1985","Korea Republic v Algeria","L","3-1","Nehru Cup"
"13 Dec 1985","Korea Republic v Algeria","L","2-0","Four Team Tournament, Mexico"
"22 Jun 2014","Korea Republic v Algeria","W","2-4","FIFA World Cup"
"07 Dec 1985","Mexico v Algeria","L","2-0","Four Team Tournament, Mexico"
