"player" "position" "appearance" "goals" "year" "team"
"Mehdi Abeid" "Midfielder" 1 0 "2016" "algeria"
"Ishak Belfodil" "Forward" 1 0 "2016" "algeria"
"Hicham Belkarouri" "Defender" 4 0 "2016" "algeria"
"Nabil Bentaleb" "Midfielder" 1 1 "2016" "algeria"
"Yassine Benzia" "Forward" 1 1 "2016" "algeria"
"Ryad Boudebouz" "Midfielder" 2 3 "2016" "algeria"
"Baghdad Bounedjah" "Forward" 0 2 "2016" "algeria"
"Yacine Brahimi" "Midfielder" 4 1 "2016" "algeria"
"Azzedine Doukha" "Goalkeeper" 2 0 "2016" "algeria"
"Sofiane Feghouli" "Midfielder" 3 1 "2016" "algeria"
"Rachid Ghezzal" "Midfielder" 1 3 "2016" "algeria"
"Faouzi Ghoulam" "Defender" 7 0 "2016" "algeria"
"Adlene Guedioura" "Midfielder" 1 2 "2016" "algeria"
"Abderahmane Hachoud" "Defender" 1 0 "2016" "algeria"
"Rais M'Bolhi" "Goalkeeper" 5 0 "2016" "algeria"
"Riyad Mahrez" "Midfielder/Forward" 6 0 "2016" "algeria"
"Aissa Mandi" "Defender" 6 0 "2016" "algeria"
"Carl Medjani" "Defender/Centre back" 7 0 "2016" "algeria"
"Walid Mesloub" "Midfielder" 4 1 "2016" "algeria"
"Islam Slimani" "Forward" 6 0 "2016" "algeria"
"El Arbi Hilal  Soudani" "Forward" 2 1 "2016" "algeria"
"Saphir Taider" "Midfielder" 6 0 "2016" "algeria"
"Medhi Zeffane" "Defender" 6 0 "2016" "algeria"
"Hicham Belkarouri" "Defender" 1 0 "2017" "algeria"
"Ismael Bennacer" "Midfielder" 0 1 "2017" "algeria"
"Nabil Bentaleb" "Midfielder" 1 0 "2017" "algeria"
"Ryad Boudebouz" "Midfielder" 2 0 "2017" "algeria"
"Yacine Brahimi" "Midfielder" 0 2 "2017" "algeria"
"Lyassine Cadamuro-Bentaiba" "Defender" 1 1 "2017" "algeria"
"Sofiane Feghouli" "Midfielder" 0 1 "2017" "algeria"
"Rachid Ghezzal" "Midfielder" 0 1 "2017" "algeria"
"Faouzi Ghoulam" "Defender" 2 0 "2017" "algeria"
"Adlene Guedioura" "Midfielder" 1 0 "2017" "algeria"
"Rais M'Bolhi" "Goalkeeper" 2 0 "2017" "algeria"
"Riyad Mahrez" "Midfielder/Forward" 2 0 "2017" "algeria"
"Carl Medjani" "Defender/Centre back" 2 0 "2017" "algeria"
"Islam Slimani" "Forward" 2 0 "2017" "algeria"
"El Arbi Hilal  Soudani" "Forward" 2 0 "2017" "algeria"
"Saphir Taider" "Midfielder" 2 0 "2017" "algeria"
"Medhi Zeffane" "Defender" 2 0 "2017" "algeria"
"Sergio Aguero" "Forward" 4 7 "2016" "argentina"
"Ever Banega" "Midfielder" 11 2 "2016" "argentina"
"Lucas Biglia" "Midfielder" 7 3 "2016" "argentina"
"Milton Casco" "Defender" 1 0 "2016" "argentina"
"Angel Correa" "Forward" 2 2 "2016" "argentina"
"Victor Cuesta" "Defender" 1 2 "2016" "argentina"
"Martin Demichelis" "Defender" 2 0 "2016" "argentina"
"Angel Di Maria" "Midfielder" 10 0 "2016" "argentina"
"Paulo Dybala" "Forward" 0 3 "2016" "argentina"
"Augusto Fernandez" "Midfielder" 4 2 "2016" "argentina"
"Ramiro Funes Mori" "Defender" 12 0 "2016" "argentina"
"Fernando Gago" "Midfielder" 1 0 "2016" "argentina"
"Nicolas Gaitan" "Midfielder" 4 3 "2016" "argentina"
"Ezequiel Garay" "Defender" 1 0 "2016" "argentina"
"Nahuel Guzman" "Goalkeeper" 1 0 "2016" "argentina"
"Gonzalo Higuain" "Forward" 10 1 "2016" "argentina"
"Claudio Kranevitter" "Midfielder" 4 3 "2016" "argentina"
"Erik Lamela" "Midfielder" 3 7 "2016" "argentina"
"Ezequiel Lavezzi" "Forward" 6 3 "2016" "argentina"
"Jonatan Ramon Maidana" "Defender" 0 2 "2016" "argentina"
"Emmanuel Mas" "Defender" 3 1 "2016" "argentina"
"Javier Mascherano" "Midfielder" 12 0 "2016" "argentina"
"Gabriel Ivan Mercado" "Defender" 9 0 "2016" "argentina"
"Lionel Messi" "Midfielder/Forward" 7 3 "2016" "argentina"
"Nicolas Otamendi" "Defender" 13 0 "2016" "argentina"
"Javier Pastore" "Midfielder" 2 0 "2016" "argentina"
"Roberto Pereyra" "Midfielder" 1 1 "2016" "argentina"
"Enzo Perez" "Midfielder" 0 1 "2016" "argentina"
"Gino Peruzzi Lucchetti" "Defender" 0 1 "2016" "argentina"
"Javier Horacio Pinola" "Defender" 1 0 "2016" "argentina"
"Gonzalo Rodriguez" "Defender" 1 0 "2016" "argentina"
"Marcos Rojo" "Defender" 11 0 "2016" "argentina"
"Sergio Romero" "Goalkeeper" 14 0 "2016" "argentina"
"Facundo Roncaglia" "Defender" 4 2 "2016" "argentina"
"Carlos Tevez" "Forward" 2 2 "2016" "argentina"
"Pablo Zabaleta" "Defender" 1 0 "2016" "argentina"
"Sergio Aguero" "Forward" 2 0 "2017" "argentina"
"Lucas Alario" "Forward" 0 2 "2017" "argentina"
"Ever Banega" "Midfielder" 2 1 "2017" "argentina"
"Lucas Biglia" "Midfielder" 2 0 "2017" "argentina"
"Angel Correa" "Forward" 0 2 "2017" "argentina"
"Martin Demichelis" "Defender" 1 0 "2017" "argentina"
"Angel Di Maria" "Midfielder" 4 0 "2017" "argentina"
"Paulo Dybala" "Forward" 2 1 "2017" "argentina"
"Ramiro Funes Mori" "Defender" 3 0 "2017" "argentina"
"Nicolas Gaitan" "Midfielder" 1 2 "2017" "argentina"
"Gonzalo Higuain" "Forward" 2 0 "2017" "argentina"
"Claudio Kranevitter" "Midfielder" 1 0 "2017" "argentina"
"Erik Lamela" "Midfielder" 1 0 "2017" "argentina"
