teamA,teamB,matchDate,matchVenue
Serbia,Israel,31 May 2016,Stadion Karadorde
USA,Iceland,31 January 2016,StubHub Center
Germany,Finland,31 August 2016,"Borussia Park, Monchengladbach"
France,Cameroon,30 May 2016,"Stade de la Beaujoire, Nantes"
Germany,Slovakia,29 May 2016,"WWK Arena, Augsburg"
Italy,Scotland,29 May 2016,Ta'Qali National Stadium
Romania,Ukraine,29 May 2016,"Stadio Olimpico, Turin"
Peru,El Salvador,29 May 2016,"Robert F Kennedy, Washington DC"
Colombia,Haiti,29 May 2016,Levi's Stadium
Lithuania,Estonia,29 May 2016,Klaipeda National Stadium
Spain,Bosnia and Herzegovina,29 May 2016,"AFG Arena, St Gallen"
England,Netherlands,29 March 2016,Wembley Stadium
Greece,Iceland,29 March 2016,Stadio Karaiskaki
South Africa,Cameroon,29 March 2016,"Moses Mabhida Stadium, Durban"
Colombia,Ecuador,29 March 2016,"Metropolitano Roberto Melendez, Barranquilla"
USA,Guatemala,29 March 2016,Mapfre Stadium
Switzerland,Bosnia and Herzegovina,29 March 2016,"Letzigrund, Zurich"
Scotland,Denmark,29 March 2016,"Hampden Park, Glasgow"
Panama,Haiti,29 March 2016,"Estadio Rommel Fernandez, Panama City"
Honduras,El Salvador,29 March 2016,"Estadio Olimpico, San Pedro Sula"
Costa Rica,Jamaica,29 March 2016,Estadio Nacional de Costa Rica
Portugal,Belgium,29 March 2016,"Estadio Municipal Dr. Magalhaes Pessoa, Leira"
Argentina,Bolivia,29 March 2016,Estadio Mario Alberto Kempes
Uruguay,Peru,29 March 2016,"Estadio Centenario, Montevideo"
Austria,Turkey,29 March 2016,"Ernst Happel Stadion, Wien"
Paraguay,Brazil,29 March 2016,"Defensores del Chaco, Asuncion"
Uzbekistan,Bahrain,29 March 2016,"Bunyodkor Stadium, Tashkent"
Mexico,Canada,29 March 2016,"Azteca Stadium, Mexico City"
Iran,Oman,29 March 2016,"Azadi Stadium, Tehran"
Republic of Ireland,Slovakia,29 March 2016,Aviva Stadium
Germany,Italy,29 March 2016,"Allianz Arena, Munich"
Estonia,Serbia,29 March 2016,"A. Le Coq Arena, Tallinn"
Switzerland,Belgium,28 May 2016,"Stade de Genève, Genève"
USA,Bolivia,28 May 2016,Children's Mercy Park
Ukraine,Wales,28 March 2016,FFU Training KYIV
England,Australia,27 May 2016,Stadium of Light
Argentina,Honduras,27 May 2016,Estadio San Juan del Bicentenario
Costa Rica,Venezuela,27 May 2016,Estadio Nacional de Costa Rica
Uruguay,Trinidad and Tobago,27 May 2016,"Estadio Centenario, Montevideo"
Republic of Ireland,Netherlands,27 May 2016,Aviva Stadium
Romania,Spain,27 March 2016,Cluj Arena
Italy,Spain,27 June 2016,Stade De France
England,Iceland,27 June 2016,"Allianz Riviera, Nice"
Germany,England,26 March 2016,"Olympiastadion, Munich"
Germany,Slovakia,26 June 2016,"Stade Pierre-Mauroy, Lille"
Hungary,Belgium,26 June 2016,"Stade Le Municipal, Toulouse"
France,Republic of Ireland,26 June 2016,"Stade des Lumieres, Lyon"
USA,Ecuador,25 May 2016,"Toyota Stadium, Frisco"
Panama,Venezuela,25 May 2016,"Estadio Rommel Fernandez, Panama City"
Haiti,Panama,25 March 2016,"Sylvio Cator, Port au Prince"
Brazil,Uruguay,25 March 2016,Itaipava Arena Pernambuco
Jamaica,Costa Rica,25 March 2016,"Independence Park, Kingston"
Guatemala,USA,25 March 2016,Estadio Nacional Mateo Flores
Portugal,Bulgaria,25 March 2016,"Estadio Dr Magalhaes Pessoa, Leiria"
El Salvador,Honduras,25 March 2016,"Estadio Cuscatlán, San Salvador"
Canada,Mexico,25 March 2016,"BC Place Stadium, Vancouver"
Republic of Ireland,Switzerland,25 March 2016,Aviva Stadium
Netherlands,France,25 March 2016,"Amsterdam ArenA, Amsterdam"
USA,Colombia,25 June 2016,"University of Phoenix Stadium, Glendale"
Wales,Northern Ireland,25 June 2016,"Parc Des Princes, Paris"
Peru,Trinidad and Tobago,24 May 2016,Estadio Nacional de Lima
Italy,Spain,24 March 2016,"Stadio Friuli, Udine"
Peru,Venezuela,24 March 2016,"Nacional, Lima"
United Arab Emirates,Palestine,24 March 2016,"Mohammad Bin Zayed Stadium, Abu Dhabi"
Denmark,Iceland,24 March 2016,"MCH Arena, Herning"
Ecuador,Paraguay,24 March 2016,"Estadio Olimpico Atahualpa, Quito"
Bolivia,Colombia,24 March 2016,"Estadio Hernando Siles, La Paz"
Wales,Northern Ireland,24 March 2016,Cardiff City Stadium
Turkey,Sweden,24 March 2016,Antalya Arena
Romania,Lithuania,23 March 2016,"Stadionul Marin Anastasovici, Giurgiu"
England,Turkey,22 May 2016,Etihad Stadium
Italy,Republic of Ireland,22 June 2016,"Stade Pierre-Mauroy, Lille"
Hungary,Portugal,22 June 2016,"Stade des Lumieres, Lyon"
Iceland,Austria,22 June 2016,Stade De France
