teamA,teamB,matchDate,venue
Algeria,Armenia,31 May 2014,Stade Tourbillon
Algeria,Bosnia and Herzegovina,14 November 2012,Stade 5 Juillet 1962
Algeria,Ivory Coast,30 January 2013,"Royal Bafokeng Stadium, Rustenburg"
Algeria,Morocco,27 March 2011,"Annaba, Algeria"
Morocco,Algeria,04 June 2011,Stade de Marrakech 
Oman,Algeria,29 August 1998,
Oman,Algeria,31 August 1998,
Oman,Algeria,30 March 2015,Suheim Bin Hamad Stadium
South Africa,Algeria,12 January 2013,Orlando Stadium 
Algeria,Tunisia,11 December 1987,
Algeria,Tunisia,12 November 2011,Stade Mustapha Tchaker
Algeria,United Arab Emirates,05 June 2010,"Playmobil Stadion, Furth"
Argentina,Bolivia,06 June 2015,CenturyLink Field
Argentina,Mexico,08 September 2015,"AT&T Stadium, Arlington, Texas"
Bulgaria,Armenia,11 September 2012,Republican...
Armenia,Canada,29 February 2012,Hanrapetakan Stadium
Denmark,Armenia,11 June 2013,Telia Parken
El Salvador,Armenia,01 June 2016,
Armenia,Greece,06 September 2003,
Guatemala,Armenia,28 May 2016,
Armenia,Iran,11 August 2010,Hanrapetakan Stadium
Lithuania,Armenia,10 August 2011,Hanrapetakan Stadium
Armenia,Lithuania,14 November 2012,Hanrapetakan Stadium
United Arab Emirates,Armenia,27 May 2014,"National Stadium,..."
Armenia,Uzbekistan,25 May 2010,Hanrapetakan Stadium
China PR,Australia,22 January 2015,
Germany,Australia,25 March 2015,
Australia,United Arab Emirates,27 January 2015,McDonald Jones Stadium
Serbia,Austria,06 June 2009,Stadion Rajko Mitic
China PR,Bahrain,11 August 2010,
Bahrain,Colombia,26 March 2015,Bahrain National Stadium
Bahrain,Denmark,30 January 2008,
Hong Kong,Bahrain,21 January 2009,
Bahrain,Hong Kong,06 January 2010,
Bahrain,Iran,21 March 2008,
Bahrain,Iran,31 August 2009,
Iran,Bahrain,24 September 2010,
Iran,Bahrain,11 October 2011,
Bahrain,Iran,11 November 2011,
Bahrain,Iraq,21 January 2007,
Bahrain,Iraq,04 January 2009,
Bahrain,Iraq,26 November 2010,
Bahrain,Iraq,13 December 2011,
Bahrain,Iraq,03 December 2012,
Bahrain,Iraq,15 January 2013,
Bahrain,Japan,06 September 2008,
Bahrain,Korea DPR,04 January 2011,
Bahrain,Korea Republic,04 February 2009,
Korea Republic,Bahrain,10 January 2011,
Morocco,Bahrain,23 June 2012,Stade Mohammed V
Bahrain,Oman,16 April 2001,
Oman,Bahrain,10 September 2003,
Oman,Bahrain,08 November 2006,
Oman,Bahrain,27 January 2007,
Oman,Bahrain,10 January 2009,
Bahrain,Oman,26 September 2010,
Oman,Bahrain,23 November 2010,
Oman,Bahrain,10 August 2011,
Oman,Bahrain,20 December 2012,
Bahrain,Oman,05 January 2013,
Oman,Bahrain,25 December 2013,
Bahrain,Palestine,02 September 2004,
Bahrain,Palestine,16 February 2006,
Bahrain,Palestine,06 December 2011,
Bahrain,Palestine,20 December 2011,
Palestine,Bahrain,29 November 2012,
Bahrain,Panama,27 October 2005,
Saudi Arabia,Bahrain,09 August 2006,
Saudi Arabia,Bahrain,18 January 2007,
Saudi Arabia,Bahrain,12 November 2008,
Bahrain,Saudi Arabia,23 December 2008,
Bahrain,Saudi Arabia,31 December 2010,
Bahrain,Saudi Arabia,15 December 2012,
Bahrain,Saudi Arabia,30 December 2014,
Bahrain,Sweden,18 January 2012,
United Arab Emirates,Bahrain,31 July 1992,
United Arab Emirates,Bahrain,31 May 2004,
United Arab Emirates,Bahrain,27 June 2007,
United Arab Emirates,Bahrain,29 August 2008,
United Arab Emirates,Bahrain,29 November 2010,
United Arab Emirates,Bahrain,16 October 2012,
Bahrain,United Arab Emirates,08 January 2013,
Bahrain,Uzbekistan,17 June 2009,Bunyodkor Stadium
Bahrain,Uzbekistan,12 October 2010,Bunyodkor Stadium
Bahrain,Uzbekistan,25 December 2010,Bunyodkor Stadium
Colombia,Bolivia,10 July 2011,
Bolivia,Colombia,11 October 2011,
Bolivia,Costa Rica,07 July 2011,
Bolivia,Costa Rica,14 November 2012,
Bolivia,Cuba,29 February 2012,
Ecuador,Bolivia,07 September 2012,
Bolivia,Ecuador,05 September 2014,
Greece,Bolivia,06 June 2014,Red Bull Arena
Greece,Bolivia,07 June 2014,Red Bull Arena
Guatemala,Bolivia,28 March 2011,
Japan,Bolivia,19 June 2000,
Mexico,Bolivia,11 March 2009,
Panama,Bolivia,25 March 2011,Orlando Citrus...
Bolivia,Panama,10 August 2011,Orlando Citrus...
Bolivia,Paraguay,04 June 2011,
Paraguay,Bolivia,07 June 2011,
Peru,Bolivia,02 September 2011,
Bolivia,Peru,05 September 2011,
Bolivia,Peru,12 October 2012,
Bolivia,Uruguay,16 October 2012,
Bolivia,Venezuela,06 June 2009,
Bolivia,Venezuela,07 October 2010,
Bolivia,Venezuela,07 June 2013,
Venezuela,Bolivia,14 August 2013,
Brazil,Egypt,15 June 2009,
Brazil,Egypt,14 November 2011,
Mexico,Brazil,11 October 2011,
Brazil,Mexico,03 June 2012,
Panama,Brazil,30 May 2016,
Brazil,Portugal,19 November 2008,
Bulgaria,Canada,23 May 2014,Sonnenseestadion
Bulgaria,Denmark,12 October 2012,Suita City Stadium
Denmark,Bulgaria,26 March 2013,Suita City Stadium
Denmark,Bulgaria,07 June 2016,Suita City Stadium
Bulgaria,Germany,21 August 2002,Vassil Levski...
Bulgaria,Greece,30 June 1929,
Mexico,Bulgaria,16 November 2005,Estadio Azteca
Bulgaria,Romania,15 September 1929,
Saudi Arabia,Bulgaria,12 October 2010,
Serbia,Bulgaria,19 November 2008,Vasil Levski Stadion
Bulgaria,Serbia,17 November 2010,Vasil Levski Stadion
Bulgaria,Yugoslavia,15 June 1930,Friends Arena
Colombia,Cameroon,16 October 2012,Estadio...
Egypt,Cameroon,20 May 2012,
Cameroon,Ivory Coast,04 February 2006,
Japan,Cameroon,28 March 2001,Free State...
Morocco,Cameroon,15 November 2005,Stade Mohammed V
Morocco,Cameroon,13 November 2011,Stade Mohammed V
South Africa,Cameroon,19 November 2008,
Cameroon,South Africa,26 March 2016,
Tunisia,Cameroon,13 October 2013,
Zambia,Cameroon,01 June 1997,Estadio Alto da...
Canada,China PR,02 April 1992,
Costa Rica,Canada,10 July 2009,
Canada,Costa Rica,28 May 2013,
Cuba,Canada,08 June 2012,Commonwealth Stadium
Canada,Cuba,12 October 2012,Commonwealth Stadium
Canada,Denmark,26 January 2013,Kino Veterans...
Canada,Ecuador,11 May 2010,Commonwealth Stadium
Canada,Ecuador,01 June 2011,Commonwealth Stadium
El Salvador,Canada,07 July 2009,
Estonia,Canada,26 March 2008,
Guatemala,Canada,30 June 2009,
Canada,Honduras,06 September 2008,
Canada,Honduras,18 July 2009,
Canada,Honduras,07 September 2010,
Canada,Honduras,12 June 2012,
Honduras,Canada,16 October 2012,
Canada,Jamaica,03 July 2009,
Jamaica,Canada,31 January 2010,
Japan,Canada,22 March 2013,Khalifa Int'l...
Morocco,Canada,11 October 2016,
Panama,Canada,04 June 2008,
