"Date","homeTeam","awayTeam","Result","homeTeamScore","awayTeamScore","Competition"
1984-09-05,"Algeria","Argentina","D","0","0","Merdeka Tournament"
2007-06-05,"Argentina","Algeria","L","4","3","International Friendly"
2014-05-31,"Algeria","Armenia","W","3","1","International Friendly"
1982-06-21,"Algeria","Austria","L","0","2","FIFA World Cup"
1988-07-10,"Algeria","Bahrain","D","0","0","Arab Cup"
1992-05-19,"Bahrain","Algeria","D","0","0","International Friendly"
2002-05-14,"Belgium","Algeria","D","0","0","International Friendly"
2003-02-12,"Algeria","Belgium","L","1","3","International Friendly"
2014-06-17,"Belgium","Algeria","L","2","1","FIFA World Cup"
2012-11-14,"Algeria","Bosnia and Herzegovina","L","0","1","International Friendly"
1965-06-17,"Algeria","Brazil","L","0","3","International Friendly"
1973-06-03,"Algeria","Brazil","L","0","2","International Friendly"
1986-06-06,"Brazil","Algeria","L","1","0","FIFA World Cup"
2007-08-22,"Brazil","Algeria","L","2","0","International Friendly"
1963-01-06,"Algeria","Bulgaria","W","2","1","International Friendly"
1977-01-11,"Algeria","Bulgaria","D","1","1","International Friendly"
1983-08-07,"Algeria","Bulgaria","L","2","3","International Friendly"
1998-06-05,"Bulgaria","Algeria","L","2","0","International Friendly"
1998-11-05,"Bulgaria","Algeria","D","0","0","International Friendly"
2000-11-14,"Algeria","Bulgaria","L","1","2","International Friendly"
1984-03-14,"Cameroon","Algeria","L","0","0","Africa Cup of Nations"
1986-03-14,"Cameroon","Algeria","L","3","2","Africa Cup of Nations"
1991-02-15,"Cameroon","Algeria","L","0","0","Afrique Foot"
1995-11-28,"Algeria","Cameroon","W","4","0","Belier Africa Tournament"
1998-02-15,"Cameroon","Algeria","L","2","1","Africa Cup of Nations"
2000-02-06,"Cameroon","Algeria","L","2","1","Africa Cup of Nations"
2004-01-25,"Algeria","Cameroon","D","1","1","Africa Cup of Nations"
2016-10-09,"Algeria","Cameroon","D","1","1","FIFA World Cup"
1984-10-16,"Algeria","Canada","W","1","0","International Friendly"
1982-07-30,"China PR","Algeria","L","3","0","Great Wall"
1984-08-30,"China PR","Algeria","D","1","1","Merdeka Tournament"
2004-04-28,"Algeria","China PR","L","0","1","International Friendly"
1974-06-09,"Algeria","Cuba","L","0","1","International Friendly"
1963-02-26,"Algeria","Czechoslovakia","L","0","2","A v OT"
1963-02-28,"Algeria","Czechoslovakia","W","4","0","A v OT"
1989-02-12,"Algeria","Denmark","D","0","0","Rothmans Tournament"
1964-03-22,"Egypt","Algeria","D","2","2","International Friendly"
1969-09-19,"Egypt","Algeria","L","1","0","Africa Cup of Nations"
1969-09-28,"Algeria","Egypt","D","1","1","Africa Cup of Nations"
1974-10-01,"Algeria","Egypt","L","1","3","Arab Cup, Damascus"
1975-08-29,"Algeria","Egypt","W","1","0","Mediterranean Games"
1978-07-13,"Algeria","Egypt","D","1","1","African Games"
1980-03-19,"Algeria","Egypt","W","2","2","Africa Cup of Nations"
1983-07-31,"Egypt","Algeria","L","1","0","Palestine Cup"
1984-03-17,"Algeria","Egypt","W","3","1","Africa Cup of Nations"
1989-10-08,"Algeria","Egypt","D","0","0","FIFA World Cup"
1989-11-17,"Egypt","Algeria","L","1","0","FIFA World Cup"
1990-03-08,"Algeria","Egypt","W","2","0","Africa Cup of Nations"
1995-01-08,"Algeria","Egypt","W","1","0","Africa Cup of Nations"
1995-07-14,"Egypt","Algeria","D","1","1","Africa Cup of Nations"
1997-12-20,"Egypt","Algeria","W","1","2","International Friendly"
1997-12-24,"Egypt","Algeria","W","1","2","International Friendly"
2001-03-11,"Egypt","Algeria","L","5","2","FIFA World Cup"
2001-07-21,"Algeria","Egypt","D","1","1","FIFA World Cup"
2004-01-29,"Algeria","Egypt","W","2","1","Africa Cup of Nations"
2009-06-07,"Algeria","Egypt","W","3","1","FIFA World Cup"
2009-11-14,"Egypt","Algeria","L","2","0","FIFA World Cup"
2009-11-18,"Algeria","Egypt","W","1","0","FIFA World Cup"
2010-01-28,"Algeria","Egypt","L","0","4","Africa Cup of Nations"
1990-12-11,"Algeria","England","D","0","0","A v B"
2010-06-18,"England","Algeria","D","0","0","FIFA World Cup"
1989-02-08,"Algeria","Finland","W","2","0","Rothmans Tournament"
1967-09-07,"Algeria","France","L","1","3","Mediterranean Games"
1975-08-24,"Algeria","France","W","2","0","Mediterranean Games"
1975-09-06,"Algeria","France","W","3","2","Mediterranean Games"
1979-09-21,"Algeria","France","D","1","1","Mediterranean Games"
1987-09-15,"Algeria","France","W","4","0","Mediterranean Games"
2001-10-06,"France","Algeria","L","4","1","International Friendly"
1964-01-01,"Algeria","West Germany","W","2","0","International Friendly"
1982-06-16,"Algeria","Germany","W","2","1","FIFA World Cup"
2014-06-30,"Germany","Algeria","L","2","1","FIFA World Cup"
1973-01-12,"Ghana","Algeria","L","2","0","African Games"
1978-07-26,"Algeria","Ghana","W","2","0","African Games"
1980-03-09,"Ghana","Algeria","D","0","0","Africa Cup of Nations"
1982-03-16,"Ghana","Algeria","L","3","2","Africa Cup of Nations"
1983-09-30,"Algeria","Ghana","W","1","0","Merdeka Tournament"
1984-03-08,"Ghana","Algeria","W","0","2","Africa Cup of Nations"
1984-07-28,"Algeria","Ghana","D","1","1","International Friendly"
1984-12-28,"Ghana","Algeria","L","2","1","International Friendly"
1992-12-20,"Ghana","Algeria","L","2","0","FIFA World Cup"
1993-02-26,"Algeria","Ghana","W","2","1","FIFA World Cup"
2001-12-05,"Algeria","Ghana","D","1","1","International Friendly"
2015-01-23,"Ghana","Algeria","L","1","0","Africa Cup of Nations"
1975-08-26,"Algeria","Greece","W","5","0","Mediterranean Games"
1979-09-29,"Algeria","Greece","W","2","1","Mediterranean Games"
1987-09-17,"Greece","Algeria","L","1","0","Mediterranean Games"
1983-07-13,"Hong Kong","Algeria","L","1","0","Great Wall Cup"
1963-12-28,"Algeria","Hungary","L","0","3","A v OT"
1967-08-16,"Hungary","Algeria","L","7","0","U v A"
1985-12-11,"Hungary","Algeria","L","3","1","Four Team Tournament, Mexico"
1981-06-30,"Algeria","Iran","W","1","0","International Friendly"
1991-09-27,"Iran","Algeria","L","2","1","Afro-Asian Cup of Nations"
1991-10-13,"Algeria","Iran","W","1","0","Afro-Asian Cup of Nations"
1973-08-15,"Algeria","Iraq","D","0","0","Palestine Cup"
1973-08-25,"Algeria","Iraq","W","0","0","Palestine Cup"
1978-02-22,"Iraq","Algeria","L","3","0","International Friendly"
1978-02-23,"Iraq","Algeria","L","1","0","International Friendly"
1978-07-02,"Algeria","Iraq","D","1","1","International Friendly"
1983-07-31,"Iraq","Algeria","L","4","2","Palestine Cup"
1967-09-09,"Algeria","Italy","L","0","2","Mediterranean Games"
1989-11-11,"Italy","Algeria","L","1","0","International Friendly"
1965-07-19,"Ivory Coast","Algeria","L","1","0","African Games"
1965-07-25,"Algeria","Ivory Coast","L","0","1","African Games"
1965-07-27,"Ivory Coast","Algeria","W","0","1","African Games"
1965-11-18,"Ivory Coast","Algeria","D","1","1","International Friendly"
1968-01-12,"Ivory Coast","Algeria","L","3","0","Africa Cup of Nations"
1983-08-23,"Algeria","Ivory Coast","W","3","0","International Friendly"
1985-01-01,"Ivory Coast","Algeria","D","1","1","International Friendly"
1986-12-11,"Algeria","Ivory Coast","W","2","1","International Friendly"
1986-12-14,"Algeria","Ivory Coast","W","2","1","International Friendly"
1988-03-13,"Algeria","Ivory Coast","D","1","1","Africa Cup of Nations"
1989-06-11,"Ivory Coast","Algeria","D","0","0","FIFA World Cup"
1989-08-25,"Algeria","Ivory Coast","W","1","0","FIFA World Cup"
1990-03-05,"Algeria","Ivory Coast","W","3","0","Africa Cup of Nations"
1992-01-13,"Algeria","Ivory Coast","L","0","3","Africa Cup of Nations"
1993-04-16,"Algeria","Ivory Coast","D","1","1","FIFA World Cup"
1993-07-18,"Ivory Coast","Algeria","L","1","0","FIFA World Cup"
1995-11-26,"Ivory Coast","Algeria","D","0","0","Belier Africa Tournament"
1995-12-02,"Ivory Coast","Algeria","L","0","0","Belier Africa Tournament"
1996-10-06,"Algeria","Ivory Coast","W","4","1","Africa Cup of Nations"
1997-06-22,"Ivory Coast","Algeria","L","2","1","Africa Cup of Nations"
2010-01-24,"Ivory Coast","Algeria","W","2","3","Africa Cup of Nations"
2013-01-30,"Algeria","Ivory Coast","D","2","2","Africa Cup of Nations"
2015-02-01,"Ivory Coast","Algeria","L","3","1","Africa Cup of Nations"
1985-01-30,"Korea Republic","Algeria","L","3","1","Nehru Cup"
1985-12-13,"Korea Republic","Algeria","L","2","0","Four Team Tournament, Mexico"
2014-06-22,"Korea Republic","Algeria","W","2","4","FIFA World Cup"
1985-12-07,"Mexico","Algeria","L","2","0","Four Team Tournament, Mexico"
1963-02-28,"Algeria","Morocco","L","0","4","International Friendly"
1965-10-31,"Algeria","Morocco","D","0","0","International Friendly"
1966-02-28,"Morocco","Algeria","L","1","0","International Friendly"
1966-11-24,"Algeria","Morocco","D","2","2","International Friendly"
1966-12-15,"Morocco","Algeria","D","2","2","International Friendly"
1967-01-31,"Morocco","Algeria","D","0","0","International Friendly"
1967-08-31,"Algeria","Morocco","W","3","1","Mediterranean Games"
1968-03-17,"Morocco","Algeria","D","0","0","International Friendly"
1969-03-09,"Algeria","Morocco","W","2","0","Africa Cup of Nations"
1969-03-23,"Morocco","Algeria","L","1","0","Africa Cup of Nations"
1969-11-01,"Algeria","Morocco","W","1","0","International Friendly"
1970-12-10,"Algeria","Morocco","W","3","1","Africa Cup of Nations"
1970-12-27,"Morocco","Algeria","L","3","0","Africa Cup of Nations"
1973-10-31,"Algeria","Morocco","W","2","1","International Friendly"
1974-04-07,"Morocco","Algeria","L","2","0","International Friendly"
1974-10-05,"Algeria","Morocco","L","0","1","Arab Cup, Damascus"
1980-03-13,"Algeria","Morocco","W","1","0","Africa Cup of Nations"
1982-07-27,"Algeria","Morocco","L","0","1","Great Wall"
1985-01-21,"Morocco","Algeria","L","4","0","Nehru Cup"
1985-08-13,"Morocco","Algeria","L","1","0","Pan Arab Games"
1986-03-08,"Algeria","Morocco","D","0","0","Africa Cup of Nations"
1987-09-19,"Morocco","Algeria","L","2","1","Mediterranean Games"
1988-03-16,"Morocco","Algeria","L","1","0","Africa Cup of Nations"
1988-03-26,"Morocco","Algeria","D","1","1","Africa Cup of Nations"
1989-03-22,"Algeria","Morocco","D","1","1","International Friendly"
1989-05-24,"Morocco","Algeria","L","1","0","International Friendly"
