id,name,latitude,longitude
89,Estadio Nacional Mane Garrincha,-15.78347465,-47.8992051635517
661,"Landhof, Basel",47.5622753,7.60277070288962
853,CIUDAD DEL ESTE,-25.5169014,-54.6168644
1723,CHEMNITZ,,
636,"Gerhard Hanappi Stadion, Vienna",,
2190,"Anlaby Road Ground, Hull",,
1936,KATHMANDU,,
1717,Feyenoord ROTTERDAM,,
429,Cairo Stadium CAIRO,30.0691158,31.3121525587493
791,Bucuresti,44.4361414,26.1027202
1998,HAIFA,,
20,"Stade Mustapha Tchaker, Algiers",36.4908344,2.84701303113845
1588,"HSH Nordbank Arena, Hamburg",,
33,Cape Town Stadium,-33.90376715,18.4096565269476
1617,Al Jubail,25.35289635,55.3818541261714
1115,"Big Swan Stadium, Niigata",37.88257595,139.059158407432
1856,Estadio La Pedregalena COLON,,
1858,SAS Soccer Park,,
39,MONTERREY,25.63978365,-100.293101529066
914,KOLN,50.938361,6.959974
114,"Busch Soccer Park, St Louis",38.5467789,-90.4386103
59,KHOBAR,26.3039999,50.1960237
538,St George's Park,-33.96582145,25.6073023292068
1252,National PORT OF SPAIN,10.6587119,-61.5248389646313
497,Seoul Sang-am Stadium,,
1836,Estadio Ricardo Saprissa,,
1737,Municipal BIZERTE,,
1228,Carlos Dittborn ARICA,-18.4892554,-70.3016315
1800,Arisa SALONIKA,,
519,"North Harbour Stadium, Auckland",,
644,CRAIOVA,44.3190159,23.7965614
534,Glasgow,36.9958841,-85.9119214
2175,"Grand Stade de Marrakech, Marrakech",,
106,Artigas PAYSANDU,-32.3265808,-58.0570859
1113,"Estadio Riazor, La Coruna",43.368805,-8.41755716644209
1027,LARNACA,34.9172012,33.6378531
1298,CLUJ,46.7693367,23.5900604
1744,Mizuho Stadium NAGOYA,,
564,"Vasil Levski, Sofia",42.7656184,23.207598
2189,"Oud Rosenburg, Amsterdam",,
1840,"Independence Park, Kingston",,
2186,TILBURG,,
1944,Arayamehr Stadium TEHRAN,,
2201,Sports Park HIROSHIMA,,
652,"Las Corts, BARCELONA",41.3777739,2.1253238
264,Olimpia ASUNCION,-25.2922946,-57.6088353919041
2056,"Rades Stadium, Tunis",,
81,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires",-34.54535335,-58.4497297338262
125,"Estadio do Pacaembu, Sao Paulo",-23.54831335,-46.666003793483
923,RIO DE JANEIRO,-22.9110136,-43.2093726
440,DAEGU,35.8404121,128.5586643
505,Basin Reserve,-41.3003915,174.780237700186
846,DALLAS,32.7762719,-96.7968558
227,"Stadio Olimpico, Rome",41.93395205,12.4547230745272
621,"Andrea Doria, Genoa",44.4114618,8.9156676
494,World Cup Stadium SUWON,37.2862528,127.036784787775
2035,GENOA,,
1256,KECSKEMET,46.9080769,19.6928133
103,"Velez Sarsfield, BUENOS AIRES",-34.631196,-58.4925555
1596,BAGHDAD,33.3024248,44.3787992
144,"Waldstadion, Frankfurt",50.06857865,8.64551995209912
1612,Municipal LEIRIA,39.4118376,-9.15434214718632
2161,La Sabana SAN DIEGO,,
256,"ArenA Amsterdam, Amsterdam",52.3189473,4.84359734123529
2080,"Hong Kou Park, SHANGHAI",,
705,Moodeoung Stadium GWANGJU,,
584,"Stade Pershing, Paris",48.8282162,2.45801914775634
1740,National Sports Council KUMASI,,
2200,"Pro Player Stadium, Miami",,
700,JINAN,36.6507007,117.1140042
503,Showgrounds,52.9921953,-6.96548648808352
1945,"Ambedkar Stadium, New Delhi",,
1408,"Columbus Crew Stadium, Colombus",,
1771,National Stadion XANTHI,,
193,"Stade Velodrome, Marseille",43.2700569,5.392596
523,"London, London",51.5073219,-0.1276473
211,"Estadio Olimpico Metropolitano, San Pedro Sula",15.4700805,-88.0067265818748
2096,"Kokuritsu Stadium, Tokyo",,
531,"Prince Mohammed Bin Fahd, Damman",,
682,Stadion Graz-Liebenau,47.0447486,15.4555077135855
1505,Downing Stadium,,
2098,Nihondaira Stadium,,
166,"Orange Bowl, Miami",25.9579304,-80.240022405686
797,"Luis Casanova, Valencia",39.4751871,-0.3571462
516,Queen Elizabeth Oval BENDIGO,-36.7556574,144.275765104199
994,"Estadio Ciudad, Mar del Plata",,
2176,Communale PALERMO,,
452,HONG KONG,22.2793278,114.1628131
1891,Park Stadion,,
1246,MARCOS,43.248119,-8.2755452
861,LISBOA,38.7077926,-9.136506
1260,Parque Necaxa MEXICO CITY,19.47761,-99.1261777842304
1517,Turf Moor,53.7889866,-2.23023461432665
1878,"Trivandrum International Stadium, Kariavattom",,
506,Blandford Park AUCKLAND,,
1513,Fratton Park,50.79632375,-1.06388348519824
1157,KWANGJU,35.1491083,126.8634645
2049,Campo GENOA,,
932,"Miejski Stadion, Wroclaw",51.1411811,16.94377035
1877,Sostoi,,
2024,"Stadio Giglio, Reggio-Emilia",,
1461,St Denis,48.935773,2.3580232
1508,"Nantwich Road, Crewe",53.0869399,-2.447276
454,Graham Park GOSFORD,,
2111,"Nissan Stadium, Kanagawa",,
342,"Crvena Zvezda, Beograd",44.7794265,20.5266154
508,Showgrounds MELBOURNE,-37.7835348,144.9149757
10,"Stade De La Mosson, Montpellier",43.62202195,3.81208976421892
275,Estadio Patria SUCRE,-0.21104285,-78.5047293034093
1467,"Kaftantzoglio, Salonika",,
1265,HABANA,23.1379911,-82.3658561
1536,Nikos Goumas,,
141,Antonio Oddone Sarubbi,-25.52703075,-54.6127367257786
129,"La Sabana, San Jose",9.6517134,-84.0317869
1864,Vilma de Castellanos TEGUCIGALPA,,
446,Sydney Football Stadium,-33.88905995,151.225387171003
611,BUDAPEST,47.4983815,19.0404707
1539,"Aljazera, Abu Dhabi",,
1415,"Al Nasr, Dubai",25.237745,55.3126687
1050,"Hristov Bonev Stadion, BLAGOYEVGRAD",,
150,La Bombonera,-34.63569025,-58.3648651566796
550,PERTH,-31.952712,115.8604796
267,Estadio Regional,-38.0177758,-57.5743937391606
1654,Valenciennes,50.3594889,3.5266657
2121,"Nissan Stadium, Yokohama",,
153,"Boca Juniors, Buenos Aires",-34.6228467,-58.350803453657
474,Brandon Park WOOLAGONG,,
212,Estadio San Juan del Bicentenario,,
12,St Denis Paris,48.935773,2.3580232
1873,"Cowboys Stadium, Arlington",,
1143,TAMPERE,61.4980214,23.7603118
1537,"Supachalasai National Stadium, Bangkok",,
1706,Stadtisches FRANKFURT,52.3413532,14.5430296
1865,Estadio Municipal Ceibeno,,
407,Craven Cottage,51.4748554,-0.221593801819923
