id,name
42840,Jasmin Muidza
18668,Jeremiah Robinson
42349,LI Bong-Nam
42311,Wai Lun Lee
26488,Jorge Ruiz
40518,Menshed
20702,Pius N'Diefifor
14811,Duncan Ogilvie
10868,Kenta Hasegawa
8387,Cobi Jones
41391,Decofor
7494,Juan O Anderson
25702,Doliscat
17115,Evelyn Henry Lintott
6629,Juan Honores
6871,Junior Douglas Ross
17573,Charles Bardot
29839,Millerfor
24326,Marcel Mahouvefor
5077,Mechack Jerome
7986,Luis Ernesto Castro
44603,Sanchez Manuel
23200,Leonidis Andrianopoulos
41852,Lenworth Hyde
44448,Abdelhamid Abuhabib
40427,Borjan
20141,Ricardo Mazacotte
27723,Niels Christian Holmstrom
18380,Freek van der Veen
15727,Valeri Lobanovski
1576,Central defender
18141,Thiago Motta
28033,Phil Kelly
41394,Daniel Carrico
29339,Youssef Al Thounayan
28809,Jarmo Manninen
32742,Roland Schonenberger
18971,Charles Brommesson
42661,Martin Pringle
38532,Apomay Martinez
29277,Mark Caughey
20935,Silva
1964,Herculez Gomez
23788,Claudiu Vaiscovici
23826,Teodor Reimann
44371,Sultan Rashid
36065,Bernd Martin
25412,Josh Simpsonfor
20195,Cesar Adriazola
27295,Yannier Martinez
39332,Kerim Koyunlu Frei
7159,Chris Iwelumo
38787,Mihai Radut
31291,Sami Mansour
32491,William Cringan
26320,Nelson Flores
18432,Piet Steenbergen
6696,Faustino Delgado
41079,Lucian Balan
22146,Peter Thomas
23258,Pagonis Vakalopoulos
44329,Basheer
30712,Bouabre
29169,Eyal Ben Ami
12667,Helmut Kitzmuller
4798,Pedro Alexis Gonzalez
23608,Alfredo Quaresma
8244,Santiago Ostolaza
44445,Murad Ismail Said
23925,ISMET Ulug
21899,Miguel Angel Sosa
1584,Robert Prytz
35960,MEHMET Ali Has
33367,Rain Vessenberg
11926,Serhat Akin
23637,Dimitar Dimitriev
4054,Victor Danilo Pacheco
17157,Henri Leroy
29099,Eyleifur Hafsteinsson
17250,Frank Roberts
25040,Manuel Bobadilla Gonzalez
16288,Sayed Jaffar
21172,Wladimir
7002,B Faina
27418,Deerr
3352,Norberto Santiago Raffo
20853,Juandir
3450,Norberto Osvaldo Alonso
14436,Vytautas Luksa
23834,Dusan Svento
32845,Samuel Llewellyn Kenrick
26603,Erlij Mesburger
8580,Humberto Francisco Scovino
21325,Mohamed
20204,Pedro Gonzalez
12604,Karel Horak
9415,Helder
105,Timmy Simons
34842,Kristinn R Jonsson
1983,Lev Yashin
41648,Petar Nikezic
6731,Pedro Gonzales
38541,Narciso Fernandez
41582,GUNGOR Tetik
16946,Otto Fleischmann
5756,Fernando Pandolfi
29091,Gunnar Gudmannsson
33433,CHEUK Cheung Leung
6595,Alejandro Villanueva
6484,Mario C Ramirez
20357,Alcides Manay
22602,Francisco Rizzi
24322,E Soliman
18603,Andre De Nul
8974,Stanislav Manolev
33557,Jonas Brazauskas
14666,Johnny Fullam
14180,Aharon 'Roni' Shuruk
22239,Katlego Mphela
33571,Richard Valdov
4134,Pablo Armero
21809,Oscar MacFarlane
8236,Jose Luis Pintos Saldanha
4326,Andres Zambrano
2029,Ilija Zavisic
7562,Luis Panizzi
18905,Jose Luis Lopez Panizo
7864,Horacio Martinez
28816,Birger Mauritsen
41175,Andrei Kovtun
10127,Pavel Hapal
2524,Roberto Telch
6224,Dario Segovia
15648,Umut Bulut
4223,Diego Madrigal
24526,Jean-Noel Perrier Doumbefor
18350,Ok Formenoy
14344,Sergio Castelletti
39968,Satoshi Miyauchi
8576,Ramon Naranjo
32046,John Brockbank
6162,Alejandrino Genes
14587,Manuel Soeiro
37699,Ad Diaz
38969,Geza Szekany
31197,N Canito
44392,Badar Juma Subait Al Alawi
18652,Petit
24703,Mfomou
1363,Teofil Codreanu
27031,Sergio Morales
1805,Menni
15937,Aljosa Asalanovic
17061,Mark Strudal
41924,Kenan Piric
3094,Lele
3219,Tracaia
8333,Jorge Rodriguez
27056,Yenier Molina
12322,Marquinhos
23179,Konstandinos Gikas
10793,Eli Dryks
16231,Hideki Maeda
6420,Jorge Galarza
29518,Gosta Krusberg
23246,Venelin Toshkov
25600,Jose De Jesus Mendoza Magana
9403,Kachandryan
39660,Atli Einarsson
4712,Kevin Phillips
39789,Tang Hung Cheung
42960,Oscar Bolanos
34399,Angel Manuel Cuellar
33671,Robertas Ringys
26421,Wilmot
13876,Matyas Koranyi II
27126,Ramiro Carballo
39765,Hong Xu
25079,Hensy Munoz
8504,Oleg Blokhin
13833,Lorine Tritz
30920,Sayed Abdel Razek
31000,Ashraf Abdelhalim
19292,Jaime Rosenbluth
34453,John Johansson
1898,OZER Yurteri
16420,Ibrahim Issa
6198,Francisco Calonga
12681,Willi Harreither
25516,Richard McCallum
23558,Leo Canjels
29262,Hans Boskamp
28978,Andreas Beck
16777,Shukra Kurbanov
4930,Sebastian Kehl
36803,ISMAIL Demiriz
16838,Paul Vandenberg
29123,Steen Danielsen
27147,Raciel Torres
21672,Salvador Mota Moreno
4573,Derby Carrillo
39862,Hadi Shakouri
14246,Umberto Caligaris
9877,W Raitt
43758,Boucetta
2459,Mario Rodriguez
12718,Peter Mraz
5342,Fabio Capello
13031,Niilo Koskinen
23695,Petre Vilcov
20833,Kakafor
25108,Juan Gilberto Quinteros
40342,SINAN Alayoglu
13310,Otto Harder
25626,Youssef Ait Bennasser
12570,Jiri Sobotka
2798,Alberto Juan Ohaco
12835,Ahmed Moustafa
7546,Gilberto Peralta
38036,Phillpe Verbe
32130,Arnold Frank Hills
8587,Richard Paez
14449,Sjef van Run
11364,Terry Butler
26850,Pedro Pedrucci
18777,Frederick Pierre
2759,Gabriel Ivan Mercado
26708,Bustamante
38655,Javier Flores
31664,Jay Bothroyd
23909,G Karashev
15769,Yuri Savichev
43349,Slah Karoui
779,Mohamed Bradja
42880,David Goodwillie
7942,Vicente Albanese
18597,Henrique Ben David
12030,Robert Earnshaw
38607,Garay
9902,Alec Cameron
14420,Ignas Dedura
9304,Norayr Sahakyan
6531,Nelson Haedo Valdez
3602,Scheidt
12167,Andre Vanderstappen
16299,PAK Kwang-Ryong
35673,Luis Carvalha 'Litos'
30934,Ghanem
2968,Alfredo Garassini
22545,Peter Woodring
309,Radostin Kishishev
34016,Henri Biancheri
39389,Sandor Frohlich
10800,Gianluca Zambrotta
39428,A Mendum
18076,Mario Gianni
2963,Nicolas Vivaldo
15374,Paul Aebi
8684,Giiovanny Perez
14748,Gurtner
7271,German Devora Ceballos
27944,Giuseppe Della Valle
25670,Danny Sonner
12314,Peter Stoger
11860,Kagisho Dikgacoi
8775,Dragan Tosic
19674,Maximo Banguera
1377,Michael Klein
15241,Mikael Antonsson
34388,Miguel Angel Bustillo
19210,Ian Rush
328,Gosho Ginchev
23090,Todor Atanaskov
19213,Vinnie Jones
9845,Judy Masters
3451,Batista
19010,Mattias Johansson
9583,Gokhan Gonul
31122,Abd Akram
28474,Kristian Gyldenstein
16192,Salih Sadir
38084,Oscar Rolando Hernandez Maradiaga
16385,Mohammed Hussein
4858,Antonio Rosl
41583,ISMET Yurtsu
31128,Bogdan Ioan Andone
1023,Yacouba Comara
31231,Pontus Farnerud
11515,Webster
5718,Edgardo Bauza
5480,Tetsuji Hashiratani
10448,Sammy Adjei
28578,Sulo Saario
43449,Luis Igancio Gonzalezfor
16525,Khaled Messed
16499,Nicolas Azuaga
43820,Mohou
33262,Bernhard Rein
6829,Eddie Carazas
3758,Dimitar Kostov
33434,CHI Hong Chan
18278,Harry Denis
1232,Mourad Mdiduad
39878,Ahmed Al Naema
27618,Justin Hoyte
27032,Victor Gerardo Calvo
35568,Arno Steffenhagen
26334,Yimmi Chara
38525,Nildesson De Mello
5929,Danny Blanchflower
23075,Albert Sing
37144,Loncho Torres
29238,Harry van Beurden
38793,George Lebese
43920,Abdulah
15952,Jerson
36164,Tiasse Kone
2111,Alan Davidson
724,Bryan Robson
33287,Alfred Ratnik
329,Karnache
29613,Hasse Berndtsson
33394,Artjom Artjunin
12100,Josef Smistik
40905,Asher Allemani
38720,Bernal
3261,Geraldo Scotto
32131,Arthur Goodyer
6886,Aldo Corzo
43118,Louis Fenton
40901,David C Wilson
32020,Bill Morris
15956,Luis Henrique
11251,Jack Skinner
34344,Daniel Fernandes
29723,Ibrahim Meer
35199,Hermann Kratz
38692,C Dely
27635,Frank Monitz
9015,Pierre-Emile Hojbjerg
2342,Renato Sáinz
19333,David Paniagua
37316,Diego Armando Mejia
33240,Gustav Sepp
37243,Francisco Chachagua
1515,John Moshoeu
20646,Mirandinha
29148,Stefan Magnusson
39213,Butragueno
44180,Walter Heuri
4698,Darren Anderton
36523,Aldo Puccinelli
38441,Rafael Hidalgo Venegas
13451,Clemens Fritz
1717,Abdelkader Tayeb
23302,Lajos Samus
7736,M Annunziata
1830,Chaabane
23196,Aristidis Hrisafopoulos
20277,Anthony Stokes
38248,Ernst Athis
6449,Julio Cesar 'Romerito II' Romero
1552,Eine Fredriksson
18320,Marius Sandberg
1960,Miguel Amado
20869,Ronald Gonzalez
28945,Erik Glumer
37174,Aleman
33589,Juozas Baliulevicius
25476,Peter Gilfillan
37027,Ricardo Antonio Piccinini
23753,Alexandru Gergely
25085,Torben Boye
12816,Soren Rieks
33778,Aboshger
16415,Ahmed Khamis
34666,Valeri Novikov
33405,Henri Anier
32673,Juan Carlos Arteche
28273,Milan Fryda
14651,Pat Saward
22961,I Zdravkov
41906,Theodore
15635,Serkan Balci
2621,Matias Jesus Almeyda
6427,Felix Almiron
13214,Marcel Loncle
42611,Talal Al Michal
28300,HALIL IBRAHIM Eren
31480,Zjeljko Petrovic
30273,Mario Rebollo
9089,Enar Jaager
11103,LEE Lim-Saeng
13187,Jean Hediart
29655,Franco Di Jorio
22029,Castro
5358,Renato Zaccarelli
4472,Fricson George
32287,John Campbell II
13895,Friedrich Donnenfeld
3850,Thomas Libih
7664,Candido Garcia
2917,Ernesto Duarte Machado
24482,Boris Diecket
36448,Apostolos Sofianopulos
2747,Claudio Kranevitter
28117,Soltan Musznay
3218,Givaldo
6192,Enrique Espinoza
39892,Akbar Eftekhari
269,Mezis
27626,Radanfah Abu Bakr
24218,Franjo Rupnik
44234,HUANG Zheng Guo
4710,Dennis Wise
36261,Moncef Zerka
16882,Pierre Janssen
8970,Ivan Ivanov
29092,Einar Halldorsson
14228,Giuseppe Milano
12007,Zayntdin Tadjiyev
14531,Andy van der Meyde
33673,Sanarov
40523,Radhi Shnaishel Swadi
43264,Jose Juncosa
14400,Igor Alexandre Lolo
20994,Pipi
26608,Jorge Dely Valdes
34507,Erkki Gustafsson
42040,Shiroh Tejima
12160,Erich Hasenkopf
14245,Ottavio Barbieri
33486,Hashim Khamis
40682,Ihmeidan Barbakh
13176,Marceau Stricanne
18610,Felix Guerreiro
43815,Guezzar Redouane
18643,Carlos Jose Augusto
7469,Haris Seferovic
25726,Callum Davidson
7745,Santiago Power
6008,Pablo Bertolini
15943,Dzoni Novak
33339,Evald Mikson
2225,Nik Mrdja
2711,Walter Alberto Flores
680,Kamel Maouche
124,Jan Vertonghen
5100,Sergio Mendoza
3115,Formiga II
43641,Ziad Al Kurd
18220,Louis van Gogh
2471,Hector Rodolfo Veira
26240,Alfredo Doria
5336,Tarcisio Burgnich
20132,Troadio Duarte
456,Samuel Eto'o
43029,Llebano
16810,Ninoslav Milenkovic
472,Jean-Noel Perrier Doumbe
15536,Mohamed Ali Nafkha
38805,Plutero Maurico Alvarez
42834,Sasa Stevanovic
26634,Juan Ortiz
36475,Arie Alter
15307,Walter Dietrich
16430,Ali Khaled
27558,Jorge Ortega
15291,Karl Meyer
7376,Henrik Larsson
27580,Peter Prosper
1334,Micky Walsh
39843,Amar Abbas
25207,Greg Ion
41552,Mencacci
26402,Dale Tempest
6613,Narciso Leon
5498,Takashi Hirano
40171,Ayiman Suroor
15589,RASIT Cetiner
37610,Arjona
5982,Rufino Gorostiaga
44351,Obeid Youssouf
28345,Byron Stevenson
14216,Franco Bontadini
41271,Christian Abbiati
19009,Leif Engqvist
29641,Arnold Charpillod
20655,Atanas Aleksandrov
41358,Carlos Silva
29068,Haukur Oskarsson
36350,Doug Puffenbarger
15167,Kurt Axelsson
41157,Avraham Turika
25413,Luis Guifarro
24778,Nbome
22653,Ronnie Rees
4194,Juan Mercier
25218,Herrera
28959,Horst Pohl
42368,NYU Song-Gun
1977,Anatoli Krutikov
40786,Farhat
43766,Jennane Mokhtar
8772,Blagoje Marjanovic
10512,Anthimos Kapsis
13087,Jukka Ruhanen
25797,OMER Kilicfor
38032,Limage
29795,Carlos U Quinteros
16582,Rashed Abdulrahaman
38841,Adrian Berbia
4225,Pablo Brenes
29472,Valfrid Gunnarsson
41390,Rui Jorgefor
8645,Diony Guerra
30487,Abdel Knm Sakr
6891,Miguel Trauco
25378,Juan Alberto Cruz Muriello
26465,LEE Dong-Gookfor
4741,Jose Dellatorre
25654,William Brolly
44209,Ersun Gulum
16752,Khalid Ali
19248,Spasoje Samardzic
26950,Ruben Velez
1338,John O'Shea
3,Esteban Cambiasso
10888,Jason Petkovic
1630,AZAIEZ Jebballah
22380,Gokdeniz Karadeniz
15588,ISMAIL Deriniz
17236,Alexander 'Graham' Doggart
25478,Anthony Corbett
9057,Andres Oper
42666,Zlatan Ibrahimovi?for
17200,Lawrence Golightly
21724,Luis Miguel Salvador
41361,Antonio Teixeira
43941,Joseph Mapulanga
15819,David Partridge
797,Jurgen Kurbjuhn
25855,McKenzie
1759,D'Jemal Keddou
38073,Federico Budde
27826,Robert Pintenat
40707,Ahmed Hassan Qamal
18097,Lionello Manfredonia
1475,Branislav Ivanovic
5849,Tarik Chibabfor
21068,Alex Silva
27566,Manuel Chorens
31374,Ali Osman
8006,Morosano
8828,Tomislav Ivkovic
27510,Rob Rico
1836,Redouane Salhi
44294,Hassan Khalifa
9471,Flavius Stoican
6967,Rolando
31815,Wes Brownfor
26862,Leonel Eduardo Pilipauskas
10385,Nicolas Gillet
6335,Aristides Del Puerto
21760,Gilberto
3267,F Cielinsky
12001,Maksim Shatskikh
19484,Jacobo Quinonez
40969,Moshe Shani
28007,Mario Mateus 'Marinho'
39671,Heimir Gudmundsson
25867,Tommy McFarlane
37984,Cayaca
33998,P Bates
38253,Pierre Sala
11809,Kevin Learmonth
20476,Narcisio Camero
6019,Modesto Denis
26508,Cabezas
30609,Hamam
19201,Ivor Powell
9487,Bogdan Aurelian Patrascu
43186,Jose Villegas Tavares
41723,Mario Deras
15547,HALIT Deringor
6492,Carlos Gamarra
11127,KIM Sang-Sik
22695,Ariel
9630,Volodymyr Mykytin
18823,Ian McColl
16161,Khalid Sabbar
15275,Hans Beyeler
17425,Otto Fredrikson
20762,Milton Medeiros Canhotinho
20974,Iomar do Nascimiento Mazinhofor
18806,George D Paterson
11492,Aaran Lines
39674,Aron Elis Thrandarson
14465,Kees Rijvers
19108,Ziad Tlemcani
12306,Chicao
23202,Konstandinos Hristoduloufor
31271,Abdelhalim Saad
36013,Olexsandr Zinchenko
12745,Bent Jorgensen
40358,P Frashad
23459,PAK Shen-Chun
4400,Orly Klinger
33869,Dmitri Kruglovfor
9493,Tiberiu Balan
2883,Jose Laiolo
20044,Raul Alberto Morales Gonzales
19488,A Garcia
38307,Bob Rigby
15708,Aron Johannsson
28232,Sisto Cavalli
21576,Edivaldo Fonsecafor
13199,Dominique Colonna
39891,Shlomo Nahari
5484,Hiromitsu Isogai
3655,Leandro Somoza
42655,Shinji Fujiyoshi
41431,Silviu Ilie
31346,Amr Gamal
39797,Majid Maaiou Motlagh
6642,Cesar Socarraz
4612,Roy Bentley
12858,Otto Fischl
9562,Francisco Jose Camarasa
30733,Ndiaye
26844,Eber Bueno
43113,Bill Tuiloma
3863,Pat Onstad
11962,J Gomez
26951,D Nicolac
17713,Victor Wegria
39188,Kriston
24280,Garret Kusch
15894,Dragoslav Sekularac
18853,Derek Whyte
17055,John Eriksen
4359,Climaco Simon Canarte
27301,Mario
38172,Marin
8398,Brian Maisonneuve
19380,Maurico Soria
1360,Lica Nunweiller
36745,Jm Orue
5135,Agustin Federico Marchesin
13089,Jukka Raitala
2300,Eddy Jaspers
28552,Luke Shaw
36938,Alvaro Murillo Rojas
20095,Edgar Denis
3247,Alfredo D'Ascenso
31607,Fred E Tunstall
29304,Bernardo Silva
14695,Ronnie Whelan
35246,Hans Stalder
44588,Hugo Madrigal
16032,Janne Hietanen
39242,Gabor Fejes
14588,Pedro Pireza
17903,Kostas Konstantinidis
21442,Eric Cecilio Vallecillo
22344,Evaristo
20858,Ivo Diogo
8523,Leonid Buriak
