id,country
55,Honduras
56,Hong Kong
64,Paraguay
34,South Africa
73,Uzbekistan
61,Lithuania
60,Japan
17,France
71,Iceland
9,Cameroon
1,Argentina
2,Algeria
79,Palestine
13,Denmark
76,Iraq
5,Belgium
58,Israel
39,Turkey
36,Sweden
69,Wales
32,Serbia
44,Yugoslavia
15,England
70,Estonia
31,Saudi Arabia
41,Uruguay
57,Iran
49,Costa Rica
65,Portugal
24,Mexico
14,Egypt
78,New Zealand
67,Trinidad and Tobago
10,Canada
7,Brazil
38,Tunisia
12,Czech Republic
48,Colombia
46,Australia
20,Hungary
23,Korea Republic
74,Bahrain
62,Netherlands
68,Venezuela
80,Cuba
51,El Salvador
42,USA
30,Romania
16,Finland
19,Ghana
43,Russia
63,Panama
26,Northern Ireland
45,Zambia
11,China PR
53,Guatemala
52,Greece
21,Italy
25,Morocco
50,Ecuador
54,Haiti
18,Germany
77,Korea DPR
33,Slovakia
40,United Arab Emirates
35,Spain
29,Republic of Ireland
22,Ivory Coast
59,Jamaica
72,Ukraine
66,Scotland
28,Peru
75,China
27,Oman
47,Bolivia
37,Switzerland
6,Bosnia and Herzegovina
8,Bulgaria
4,Austria
3,Armenia
