id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
1,1,2,,,Merdeka Tournament,,0,0,1984-09-05
2,2,1,582,,International Friendly,2,4,3,2007-06-05
3,1,3,,,International Friendly,1,3,1,2014-05-31
4,1,5,2075,,FIFA World Cup,5,0,2,1982-06-21
5,1,6,1770,,Arab Cup,,0,0,1988-07-10
6,6,1,1844,,International Friendly,,0,0,1992-05-19
7,7,1,1376,,International Friendly,,0,0,2002-05-14
8,1,7,1949,,International Friendly,7,1,3,2003-02-12
9,7,1,1140,,FIFA World Cup,7,2,1,2014-06-17
10,1,9,,,International Friendly,9,0,1,2012-11-14
11,1,10,1909,,International Friendly,10,0,3,1965-06-17
12,1,10,415,,International Friendly,10,0,2,1973-06-03
13,10,1,1307,,FIFA World Cup,10,1,0,1986-06-06
14,10,1,732,,International Friendly,10,2,0,2007-08-22
15,1,11,415,,International Friendly,1,2,1,1963-01-06
16,1,11,769,,International Friendly,,1,1,1977-01-11
17,1,11,1710,,International Friendly,11,2,3,1983-08-07
18,11,1,41,,International Friendly,11,2,0,1998-06-05
19,11,1,41,,International Friendly,,0,0,1998-11-05
20,1,11,415,,International Friendly,11,1,2,2000-11-14
21,12,1,1815,,Africa Cup of Nations,,0,0,1984-03-14
22,12,1,1833,,Africa Cup of Nations,12,3,2,1986-03-14
23,12,1,1827,,Afrique Foot,,0,0,1991-02-15
24,1,12,,,Belier Africa Tournament,1,4,0,1995-11-28
25,12,1,1986,,Africa Cup of Nations,12,2,1,1998-02-15
26,12,1,2349,,Africa Cup of Nations,12,2,1,2000-02-06
27,1,12,2307,,Africa Cup of Nations,,1,1,2004-01-25
28,1,12,1061,,FIFA World Cup,,1,1,2016-10-09
29,1,13,415,,International Friendly,1,1,0,1984-10-16
30,15,1,876,,Great Wall,15,3,0,1982-07-30
31,15,1,1365,,Merdeka Tournament,,1,1,1984-08-30
32,1,15,2392,,International Friendly,15,0,1,2004-04-28
33,1,18,415,,International Friendly,18,0,1,1974-06-09
34,1,19,1909,,A v OT,19,0,2,1963-02-26
