id,name,latitude,longitude
1,Neu Ulleval,,
2,KAVALA,40.9557059,39.7881236
3,"Zalgiris, Vilnius",54.8029406,24.950034
4,Playa Ancha VALPARAISO,-33.0390699,-71.4004078
5,Stade de la Reunification,4.0559837,9.7180379472889
6,Stade C.A.P. CHARRENTONNEAU,,
7,Johannesburg,-26.2049999,28.0497222
8,Monumental de Nunez BUENOS AIRES,-34.5502171,-58.4566319
9,"Mungersdorferstadion, Cologne",,
10,National Sports Council KUMASI,,
11,Eyravallen OREBRO,,
12,Regional Park First Field HIROSHIMA,,
13,TJK Stadion TALLINN,,
14,University RICHMOND,37.548215,-77.4530641444471
15,"Estadio de Bata, Bata",1.81927655,9.78736449323016
16,Sostoi,47.9628211,21.8042844
17,Rentschler Field,41.7596263,-72.6188314638332
18,Estadio Municipal de Aveiro,40.6477793,-8.59369529996652
19,RIFU,38.343193,140.98647
20,Gwangju Soccer Stadium,,
21,MANAMA BAHRAIN,26.2235041,50.5822436
22,BENGHAZI,32.117076,20.0670036
23,Urheilupuisto TURKU,60.44267305,22.2632786637568
24,"My Dinh National Stadium, Hanoi",21.02043975,105.764150025348
25,"Olympic Stadium, Athens",38.0325514,23.7944433
26,Parc Leconte PORT AU PRINCE,,
27,Dinamo ZAGREB,45.81870175,16.0179725861149
28,Estadio Brigido Iriarte,10.48302725,-66.9413412652185
29,Piraus PIRAEUS,37.9440078,23.6483599
30,Giulesti BUCURESTI,44.4643237,26.0356176222497
31,Home Depot Centre,33.86430885,-118.261074105668
32,Youth Welfare JEDDAH,,
33,Playmobil Stadion,49.48700735,10.9989727932152
34,Sports Ground SYDNEY,-33.878027,151.229756964442
35,Saitama Stadium 2002,35.8951196,139.630753006184
36,Universidad CRAIOVA,44.30891305,23.7976372217985
37,"Gottlieb Daimler, Stuttgart",48.807239,9.2247305
38,"Saint Symphorien, Metz",,
39,ODESSA,46.4846583,30.732564
40,SAN SALVADOR,13.6977587,-89.1930099
41,Sofia,42.6977211,23.3225964
42,Metropolitan Stadium TOKYO,,
43,"Rheinstadion, Dusseldorf",51.26402015,6.72638192302968
44,HIROSHIMA,34.458065,132.451577
45,"National Stadium, Seoul",,
46,Royal Bafokeng Stadium,-25.5787723,27.1608130447165
47,SALONIKA,51.2701536,22.5602573
48,"Neckarstadion, Stuttgart",48.7922355,9.23207857743794
49,"Benito Villamarin, Seville",37.35652305,-5.98180138780109
50,Motovelodromo TURIN,45.0688333,7.7175775
51,Stade Amary Daou,13.42085955,-6.29161020000032
52,TONGDAEMUN,,
53,"Al Ahli, Riyadh",,
54,Marcantonop Bentegodi VERONA,,
55,DOUALA,4.0537386,9.6644365792336
56,"Allianz Stadium, Sydney",-33.88905995,151.225387171003
57,Big Arch Stadium ST LOUIS,,
58,RICHMOND VIRGINIA,37.5385087,-77.4342799
59,Abdel Nasser Stadium,33.88131785,35.5138858
60,Arechi SALERNO,40.64553055,14.8243387818363
61,"1 May, Timisoara",,
62,Stade Du Ray Nice,43.72333805,7.25873786929166
63,Jaques Lemans Arena,,
64,Jose Pachencho Romero,10.6740533,-71.6449985312034
65,"ONEF Stadion, Bucurest",,
66,KITWE,-12.8104185,28.2068361
67,Baba Yara Stadium,6.68253175,-1.60507054749001
68,"Municipal, Luxembourg",,
69,"Slavia Stadium, Sofia",42.6751418,23.2719871221801
70,"Sahim bin Hamad, Qatar SC Stadium",,
71,The Baseball Stadium BALTIMORE,,
72,Agustin Tovar,-12.081876,-77.0840308
73,Pallokentta HELSINKI,60.2474097,25.0216917172889
74,Estadio Jose Maria Minella,,
75,"Stadion pod Dubnom, Zilina",49.2291167,18.7447848179538
76,"Cavee Verte, Le Havre",49.5023356,0.1041198
77,"WWK Arena, Augsburg",48.3231179,10.8851593405507
78,"Ataturk, Izmir",38.1643028,27.6694833
79,"Stade De Toulouse, Toulouse",,
80,Jaka Baring Stadium,-3.02146805,104.788999260972
81,"Crystal Palace, London",51.4178783,-0.073933
82,AUCKLAND,-36.8534664,174.7655514
83,"Victor Boucquey, Lille",,
84,Trabuco College MISSION VIEJ,,
85,Bin Said AL AIN,,
86,BRATISLAVA,48.1359085,17.1597440625
87,Australia Park,-36.08906885,146.908291930597
88,Szekesfehervar Stadion,47.1726574,18.4130866
89,VALERA,9.3140317,-70.6068523
90,PORI,61.4867236,21.7910016
91,KYIV,50.4501071,30.5240501
92,Loakes Park,51.6274385,-0.7560322
93,STUTTGART,48.7784485,9.1800132
94,"Velez Sarsfield, BUENOS AIRES",-34.631196,-58.4925555
95,CURITIBA,-25.4295696,-49.2712361
96,Istanbul,41.0096334,28.9651646
97,"Sammy Ofer Stadium, Haifa",32.7829963,34.9651029080556
98,Slovan BRATISLAVA,48.1597278,17.135491
99,Ulloi Ut,47.4413488,19.1826927
100,EL PROGRESO,14.3868608,-89.8517808792356
101,"Parramatta Stadium, SYDNEY",-33.80810675,150.998999016326
102,Valstybinis Stadionas,,
103,"Stadio Comunale, Turin",45.0417485,7.65001654877933
104,Windsor Park,54.5826174,-5.95517779625906
105,Sportiva BUENOS AIRES,-38.69230625,-62.2730880850317
106,YANGSTAN,,
107,MONTEGO BAY,18.4724603,-77.9217356
108,Nacional PANAMA CITY,8.99118925,-79.532929562479
109,SAYDA,50.7123751,13.4191567
110,Veterans Stadium,42.1113723,-80.0722965
111,ARNHEM,52.0056642,5.87623450776413
112,Kemal Ataturk IZMIR,38.4842258,27.0366048
113,Kimiidera WAKAYAMA,34.1880057,135.1876099
114,"Yanggakdo Stadium, Pyongyang",38.99166495,125.74272991375
115,NK Zagreb,45.79674695,15.9854354886831
116,"Kingston, Kingston",17.9712148,-76.7928127
117,Elisabeta BUCURESTI,44.4345956,26.0941331
118,Metropolitano Merida,8.6206669,-71.1302023
119,Estadio Pueblo Nuevo SAN CRISTOBAL,,
120,Tsirion Athletic Centre LIMASSOL,,
121,DAMMAN,63.1559232,13.9801274
122,"Lansdowne Park, Ottawa",45.39932045,-75.6834488093764
123,DAMMAM,26.4367824,50.1039991
124,LATAKIA,35.5200185,35.7781044
125,"Westpac Stadium, Wellington",-41.27305265,174.785872795057
126,Mbombela Stadium,-25.4617293,30.9296898974955
127,Osterpark GRONINGEN,,
128,Minolta Loftus Super Stadium,,
129,MAR DEL PLATA,-37.9977224,-57.5482702
130,SURSEE,47.1740371,8.1089654
131,"Vasil Levski, Sofia",42.7656184,23.207598
132,Tolo HELSINKI,60.1870012,24.9272509317509
133,Showground SYDNEY,-33.7278259,150.9871572
134,"Estadio do Morumbi, Sao Paulo",,
135,Feyenoord Stadium ROTTERDAM,,
136,KOLN,50.9383611,6.9599738
137,Nou camp LEON,,
138,Alamadome Stadium,,
139,"Rose Bowl, Los Angeles",34.1613231,-118.167655462606
140,SHENZHEN,22.5442673,114.0545327
141,"Public Stadium, CHONG WON",,
142,Zayed City Sports Stadium,25.0467384,55.2190069622256
143,"Changsha Helong Sports Center, Changsha",,
144,"Estadio Metropolitano, Madrid",40.4530512,-3.68754618942801
145,"Hungaria uti, Budapest",47.5020601,19.1053728841537
146,Park GELSENKIRCHEN,51.5109791,7.0959263
147,"Bloomfield Stadium, Tel Aviv",32.051741,34.7615503
148,Barreiros FUNCHAL,32.6449961,-16.928077
149,ISMAILIA,30.6043775,32.2770825
150,"Stade Jules Deschaseaux, Le Havre",49.50173575,0.171177278295952
151,GREENSBORO N CAROLINA,36.0726355,-79.7919753
152,Portland OREGON,45.5202471,-122.6741948
153,SHENYANG,41.8045293,123.4277858
154,Mision Viejo CALIFORNIA,32.1997952,-116.912668454293
155,BRAGA,41.5510583,-8.4280044
156,OAKLAND CALIFORNIA,37.8044557,-122.2713562
157,"Estadio D. Afonso Henriques, Guimaraes",,
158,Stadion Graz-Liebenau,47.0447486,15.4555077135855
159,"Francisco Morazan, San Pedro Sula",,
160,May 19 Stadion ANKARA,,
161,GENOA,44.40726,8.9338624
162,Ascarelli NAPLES,40.83990585,14.2326565336089
163,STANKE DIMITROV,42.5869352,23.110977
164,IZMIR,38.4153421,27.144474
165,Concordie ZAGREB,,
166,Maine Road,43.982713,-70.5995509
167,"Pont d'Ougree Stadium, Ougree",,
168,MTK BUDAPEST,47.49091585,19.1067130243033
169,Park Stadion,50.7533431,37.8535995098373
170,"Dariaus ir Gireno Stadionas, Kaunas",54.8974269,23.9372743346306
171,"Oud Rosenburg, Amsterdam",,
172,San Martin MAR DEL PLATA,-37.997639,-57.548265
173,TRE-FOR Park,46.5864088,12.7775547
174,CFR BUCURESTI,44.4865733,26.114361
175,Estadio Atahualpa,4.68879285,-74.1452522029148
176,TEL AVIV,32.0804808,34.7805274
177,West Scotland FC,56.0998566,-3.16848722307875
178,CARACAS,10.506098,-66.9146016
