id,name
1,Hakan Unsal
2,KIM Dae-Eui
3,Eric Carriere
4,Michael Chretien Basser
5,Giorgio Venturin
6,Frank McLintock
7,German Colunga
8,Alberto Guilermo Montaqo
9,Pentti Tahtinen
10,Mohammed Rabiu
11,Frank Wignall
12,Richard Niederbacher
13,Hans Hugi
14,Victor Gonzalez
15,Redha Zouani
16,Santiago Salcedofor
17,LI Bin
18,Alvaro Ricaldi
19,Harald Gamperle
20,Darwish
21,Friedrich Franzl
22,Langu
23,Julio Ruben Paredas
24,PAK Doo-Ik
25,Julian Coronel
26,Rainer Geye
27,Bozo Bakota
28,Carlos Paredesfor
29,Ioan Sabau
30,Anthony Curtis
31,Guillermo Cantu
32,Michael Simeonoff
33,Vega
34,Konstantinos Fortounis
35,Tim Williamson
36,Justino Sinisterra
37,Gal Alberman
38,Abdulrazak Ibrahim
39,C Siilva Jose Luis
40,Makan Hislop
41,Takashi Mizunuma
42,Michael Reizigerfor
43,Albin Lonnberg
44,Janos More
45,Sherif Abdel Fadil
46,Omar Abdallah
47,Gyula Zsengeller
48,Jm Moreno
49,Lapiz
50,Karnache
51,Mahmoud Abu Habaga
52,Noah Reznik
53,Dimitrios Mavrogenidis
54,Ignacio Ambriz
55,FAHRETTIN Cansever
56,Jose Edmilsonfor
57,Percy Lennard
58,Eric Barber
59,Abdallah Liegeon
60,Heinrich Uukkivi
61,Gerald Strafner
62,Abdulrahmen Mohamed
63,Bernd Forster
64,Don Donovan
65,Santiago Pio Gallino
66,Valter Biiber
67,CHOI Sung-Kuk
68,Mechack Jerome
69,Sailius Mikalajunas
70,Vladimir Kos
71,Jamshid Shah-Mohammdi
72,Hensy Munoz
73,Bernard Mnguni
74,Kevin Learmonth
75,Alexander McLintock
76,Osmar Molinas
77,Cosimo Nocera
78,Rene Houseman
79,Dr Karoly Rajna
80,Jul Martinez
81,Arturas Sobolis
82,Antonio Insfran
83,Jesper Christiansen
84,A Sucre
85,TURGAY Semercioglu
86,Dejan Savicevic
87,Vitaliy Mandzyuk
88,David Regis
89,Leslie Hewitt Gay
90,KIM Chan-Ki
91,Vladimir Conc
92,Frank Mariman
93,Tramaine Stewart
94,Markus Okake
95,Walter Hiesel
96,Joseph Desmedt
97,Steve Derrett
98,Antonio Daniel Zapata Martinez
99,Abdelhadin
100,Sercan Yildrim
