player_id,year,position,rating,pace,shoot,pass,dribble,defend,physical
16246,2010,CM,68,67 ,58 ,67 ,65 ,68 ,61 
31399,2010,LB,75,76 ,61 ,72 ,62 ,73 ,63 
33739,2010,LB,75,80 ,56 ,69 ,71 ,72 ,64 
34663,2010,CDM,79,74 ,75 ,78 ,75 ,77 ,71 
10971,2010,RB,73,75 ,42 ,71 ,74 ,71 ,64 
14804,2010,CB,77,76 ,40 ,52 ,45 ,80 ,86 
35172,2010,RW,69,93 ,58 ,55 ,67 ,50 ,54 
253,2010,RB,80,75 ,59 ,78 ,80 ,79 ,74 
12011,2010,LM,69,76 ,64 ,62 ,70 ,60 ,58 
18015,2010,CM,67,66 ,62 ,64 ,61 ,64 ,64 
9766,2010,CAM,81,89 ,76 ,82 ,87 ,59 ,54 
9377,2010,RB,77,81 ,56 ,74 ,68 ,75 ,66 
37783,2010,CDM,80,76 ,69 ,81 ,74 ,79 ,86 
18142,2010,CF,78,83 ,75 ,60 ,75 ,59 ,77 
23794,2010,CM,67,65 ,55 ,68 ,65 ,65 ,52 
31052,2010,ST,65,71 ,62 ,45 ,58 ,53 ,65 
23136,2010,RW,74,81 ,67 ,66 ,80 ,50 ,61 
38078,2010,ST,65,61 ,66 ,62 ,56 ,57 ,61 
6708,2010,ST,76,76 ,74 ,58 ,76 ,52 ,68 
37828,2010,CM,65,72 ,60 ,60 ,57 ,59 ,58 
40611,2010,CB,68,65 ,34 ,56 ,43 ,70 ,74 
24034,2010,RF,75,80 ,69 ,69 ,75 ,52 ,64 
14482,2010,RM,71,73 ,71 ,68 ,72 ,58 ,54 
10872,2010,ST,86,87 ,82 ,68 ,88 ,66 ,78 
16834,2010,CM,67,63 ,63 ,67 ,62 ,62 ,47 
3265,2010,CB,68,64 ,33 ,42 ,43 ,71 ,80 
19070,2010,LWB,67,65 ,58 ,62 ,58 ,65 ,60 
28935,2010,CDM,57,57 ,42 ,49 ,48 ,77 ,78 
26460,2010,RM,60,59 ,67 ,57 ,63 ,48 ,45 
39246,2010,RB,73,74 ,56 ,62 ,75 ,70 ,65 
39074,2010,ST,80,77 ,80 ,67 ,74 ,62 ,82 
28038,2010,LM,71,70 ,61 ,72 ,70 ,64 ,63 
32831,2010,CM,60,66 ,61 ,60 ,54 ,46 ,50 
5050,2010,ST,69,67 ,66 ,60 ,58 ,61 ,82 
18236,2010,ST,67,70 ,62 ,59 ,63 ,58 ,70 
20924,2010,RM,67,74 ,61 ,63 ,67 ,59 ,65 
22742,2010,LM,74,84 ,69 ,76 ,87 ,43 ,40 
8628,2010,ST,75,74 ,74 ,55 ,71 ,66 ,83 
35821,2010,LB,63,74 ,36 ,54 ,57 ,59 ,49 
8996,2010,CB,80,68 ,34 ,56 ,40 ,87 ,84 
10554,2010,ST,73,88 ,67 ,47 ,71 ,60 ,65 
4899,2010,?,63,74 ,53 ,61 ,57 ,53 ,40 
9508,2010,CM,80,80 ,74 ,78 ,75 ,78 ,74 
37839,2010,RB,71,69 ,39 ,56 ,59 ,72 ,75 
14752,2010,CM,60,64 ,50 ,59 ,57 ,61 ,60 
16176,2010,ST,76,75 ,75 ,54 ,74 ,67 ,80 
22124,2010,CB,61,46 ,19 ,37 ,28 ,70 ,66 
36486,2010,LM,61,64 ,55 ,60 ,67 ,54 ,51 
15118,2010,ST,75,75 ,73 ,54 ,72 ,58 ,78 
2989,2010,CM,83,82 ,82 ,82 ,86 ,75 ,74 
17948,2010,CF,73,74 ,66 ,62 ,73 ,69 ,84 
1741,2010,ST,77,81 ,73 ,62 ,78 ,57 ,66 
35058,2010,CDM,66,69 ,54 ,62 ,60 ,69 ,68 
17970,2010,CB,76,74 ,51 ,60 ,56 ,77 ,76 
22184,2010,ST,82,85 ,80 ,63 ,76 ,72 ,86 
21335,2010,RB,70,72 ,53 ,64 ,65 ,67 ,56 
18254,2010,CB,67,71 ,24 ,35 ,60 ,67 ,71 
24060,2010,CF,89,79 ,89 ,84 ,92 ,61 ,63 
39587,2010,CAM,63,56 ,61 ,64 ,65 ,52 ,48 
40959,2010,CDM,75,68 ,69 ,76 ,67 ,75 ,68 
