Date,Match,Result,Score,Competition
1984-09-05,Algeria v Argentina,D,0-0,Merdeka Tournament
2007-06-05,Argentina v Algeria,L,4-3,International Friendly
2014-05-31,Algeria v Armenia,W,3-1,International Friendly
1982-06-21,Algeria v Austria,L,0-2,FIFA World Cup
1988-07-10,Algeria v Bahrain,D,0-0,Arab Cup
1992-05-19,Bahrain v Algeria,D,0-0,International Friendly
2002-05-14,Belgium v Algeria,D,0-0,International Friendly
2003-02-12,Algeria v Belgium,L,1-3,International Friendly
2014-06-17,Belgium v Algeria,L,2-1,FIFA World Cup
2012-11-14,Algeria v Bosnia and Herzegovina,L,0-1,International Friendly
1965-06-17,Algeria v Brazil,L,0-3,International Friendly
1973-06-03,Algeria v Brazil,L,0-2,International Friendly
1986-06-06,Brazil v Algeria,L,1-0,FIFA World Cup
2007-08-22,Brazil v Algeria,L,2-0,International Friendly
1963-01-06,Algeria v Bulgaria,W,2-1,International Friendly
1977-01-11,Algeria v Bulgaria,D,1-1,International Friendly
1983-08-07,Algeria v Bulgaria,L,2-3,International Friendly
1998-06-05,Bulgaria v Algeria,L,2-0,International Friendly
1998-11-05,Bulgaria v Algeria,D,0-0,International Friendly
2000-11-14,Algeria v Bulgaria,L,1-2,International Friendly
1984-03-14,Cameroon v Algeria,L,0-0,Africa Cup of Nations
1986-03-14,Cameroon v Algeria,L,3-2,Africa Cup of Nations
1991-02-15,Cameroon v Algeria,L,0-0,Afrique Foot
1995-11-28,Algeria v Cameroon,W,4-0,Belier Africa Tournament
1998-02-15,Cameroon v Algeria,L,2-1,Africa Cup of Nations
2000-02-06,Cameroon v Algeria,L,2-1,Africa Cup of Nations
2004-01-25,Algeria v Cameroon,D,1-1,Africa Cup of Nations
2016-10-09,Algeria v Cameroon,D,1-1,FIFA World Cup
1984-10-16,Algeria v Canada,W,1-0,International Friendly
1982-07-30,China PR v Algeria,L,3-0,Great Wall
1984-08-30,China PR v Algeria,D,1-1,Merdeka Tournament
2004-04-28,Algeria v China PR,L,0-1,International Friendly
1974-06-09,Algeria v Cuba,L,0-1,International Friendly
1963-02-26,Algeria v Czech Republic,L,0-2,A v OT
1963-02-28,Algeria v Czech Republic,W,4-0,A v OT
1989-02-12,Algeria v Denmark,D,0-0,Rothmans Tournament
1964-03-22,Egypt v Algeria,D,2-2,International Friendly
1969-09-19,Egypt v Algeria,L,1-0,Africa Cup of Nations
1969-09-28,Algeria v Egypt,D,1-1,Africa Cup of Nations
1974-10-01,Algeria v Egypt,L,1-3,"Arab Cup, Damascus"
1975-08-29,Algeria v Egypt,W,1-0,Mediterranean Games
1978-07-13,Algeria v Egypt,D,1-1,African Games
1980-03-19,Algeria v Egypt,W,2-2,Africa Cup of Nations
1983-07-31,Egypt v Algeria,L,1-0,Palestine Cup
1984-03-17,Algeria v Egypt,W,3-1,Africa Cup of Nations
1989-10-08,Algeria v Egypt,D,0-0,FIFA World Cup
1989-11-17,Egypt v Algeria,L,1-0,FIFA World Cup
1990-03-08,Algeria v Egypt,W,2-0,Africa Cup of Nations
1995-01-08,Algeria v Egypt,W,1-0,Africa Cup of Nations
1995-07-14,Egypt v Algeria,D,1-1,Africa Cup of Nations
1997-12-20,Egypt v Algeria,W,1-2,International Friendly
1997-12-24,Egypt v Algeria,W,1-2,International Friendly
2001-03-11,Egypt v Algeria,L,5-2,FIFA World Cup
2001-07-21,Algeria v Egypt,D,1-1,FIFA World Cup
2004-01-29,Algeria v Egypt,W,2-1,Africa Cup of Nations
2009-06-07,Algeria v Egypt,W,3-1,FIFA World Cup
2009-11-14,Egypt v Algeria,L,2-0,FIFA World Cup
2009-11-18,Algeria v Egypt,W,1-0,FIFA World Cup
2010-01-28,Algeria v Egypt,L,0-4,Africa Cup of Nations
1990-12-11,Algeria v England,D,0-0,A v B
2010-06-18,England v Algeria,D,0-0,FIFA World Cup
1989-02-08,Algeria v Finland,W,2-0,Rothmans Tournament
1967-09-07,Algeria v France,L,1-3,Mediterranean Games
1975-08-24,Algeria v France,W,2-0,Mediterranean Games
1975-09-06,Algeria v France,W,3-2,Mediterranean Games
1979-09-21,Algeria v France,D,1-1,Mediterranean Games
1987-09-15,Algeria v France,W,4-0,Mediterranean Games
2001-10-06,France v Algeria,L,4-1,International Friendly
1964-01-01,Algeria v Germany,W,2-0,International Friendly
1982-06-16,Algeria v Germany,W,2-1,FIFA World Cup
2014-06-30,Germany v Algeria,L,2-1,FIFA World Cup
1973-01-12,Ghana v Algeria,L,2-0,African Games
1978-07-26,Algeria v Ghana,W,2-0,African Games
1980-03-09,Ghana v Algeria,D,0-0,Africa Cup of Nations
1982-03-16,Ghana v Algeria,L,3-2,Africa Cup of Nations
1983-09-30,Algeria v Ghana,W,1-0,Merdeka Tournament
1984-03-08,Ghana v Algeria,W,0-2,Africa Cup of Nations
1984-07-28,Algeria v Ghana,D,1-1,International Friendly
1984-12-28,Ghana v Algeria,L,2-1,International Friendly
1992-12-20,Ghana v Algeria,L,2-0,FIFA World Cup
1993-02-26,Algeria v Ghana,W,2-1,FIFA World Cup
2001-12-05,Algeria v Ghana,D,1-1,International Friendly
2015-01-23,Ghana v Algeria,L,1-0,Africa Cup of Nations
1975-08-26,Algeria v Greece,W,5-0,Mediterranean Games
1979-09-29,Algeria v Greece,W,2-1,Mediterranean Games
1987-09-17,Greece v Algeria,L,1-0,Mediterranean Games
1983-07-13,Hong Kong v Algeria,L,1-0,Great Wall Cup
1963-12-28,Algeria v Hungary,L,0-3,A v OT
1967-08-16,Hungary v Algeria,L,7-0,U v A
1985-12-11,Hungary v Algeria,L,3-1,"Four Team Tournament, Mexico"
1981-06-30,Algeria v Iran,W,1-0,International Friendly
1991-09-27,Iran v Algeria,L,2-1,Afro-Asian Cup of Nations
1991-10-13,Algeria v Iran,W,1-0,Afro-Asian Cup of Nations
1973-08-15,Algeria v Iraq,D,0-0,Palestine Cup
1973-08-25,Algeria v Iraq,W,0-0,Palestine Cup
1978-02-22,Iraq v Algeria,L,3-0,International Friendly
1978-02-23,Iraq v Algeria,L,1-0,International Friendly
1978-07-02,Algeria v Iraq,D,1-1,International Friendly
1967-09-09,Algeria v Italy,L,0-2,Mediterranean Games
1989-11-11,Italy v Algeria,L,1-0,International Friendly
1965-07-19,Ivory Coast v Algeria,L,1-0,African Games
1965-07-25,Algeria v Ivory Coast,L,0-1,African Games
1965-07-27,Ivory Coast v Algeria,W,0-1,African Games
1965-11-18,Ivory Coast v Algeria,D,1-1,International Friendly
1968-01-12,Ivory Coast v Algeria,L,3-0,Africa Cup of Nations
1983-08-23,Algeria v Ivory Coast,W,3-0,International Friendly
1985-01-01,Ivory Coast v Algeria,D,1-1,International Friendly
1986-12-11,Algeria v Ivory Coast,W,2-1,International Friendly
1986-12-14,Algeria v Ivory Coast,W,2-1,International Friendly
1988-03-13,Algeria v Ivory Coast,D,1-1,Africa Cup of Nations
1989-06-11,Ivory Coast v Algeria,D,0-0,FIFA World Cup
1989-08-25,Algeria v Ivory Coast,W,1-0,FIFA World Cup
