"teamA","teamB","matchDate","venue"
"Algeria","Armenia","31 May 2014",NA
"Algeria","Bosnia and Herzegovina","14 November 2012",NA
"Algeria","Ivory Coast","30 January 2013",NA
"Algeria","Morocco","27 March 2011",NA
"Morocco","Algeria","04 June 2011",NA
"Oman","Algeria","29 August 1998",NA
"Oman","Algeria","31 August 1998",NA
"Oman","Algeria","30 March 2015",NA
"South Africa","Algeria","12 January 2013",NA
"Algeria","Tunisia","11 December 1987",NA
"Algeria","Tunisia","12 November 2011",NA
"Algeria","United Arab Emirates","05 June 2010",NA
"Argentina","Bolivia","06 June 2015",NA
"Argentina","Mexico","08 September 2015",NA
"Bulgaria","Armenia","11 September 2012",NA
"Armenia","Canada","29 February 2012",NA
"Denmark","Armenia","11 June 2013",NA
"El Salvador","Armenia","01 June 2016",NA
"Armenia","Greece","06 September 2003",NA
"Guatemala","Armenia","28 May 2016",NA
"Armenia","Iran","11 August 2010",NA
"Lithuania","Armenia","10 August 2011",NA
"Armenia","Lithuania","14 November 2012",NA
"United Arab Emirates","Armenia","27 May 2014",NA
"Armenia","Uzbekistan","25 May 2010",NA
"China PR","Australia","22 January 2015",NA
"Germany","Australia","25 March 2015",NA
"Australia","United Arab Emirates","27 January 2015",NA
"Serbia","Austria","06 June 2009",NA
"China PR","Bahrain","11 August 2010",NA
"Bahrain","Colombia","26 March 2015",NA
"Bahrain","Denmark","30 January 2008",NA
"Hong Kong","Bahrain","21 January 2009",NA
"Bahrain","Hong Kong","06 January 2010",NA
"Bahrain","Iran","21 March 2008",NA
"Bahrain","Iran","31 August 2009",NA
"Iran","Bahrain","24 September 2010",NA
"Iran","Bahrain","11 October 2011",NA
"Bahrain","Iran","11 November 2011",NA
"Bahrain","Iraq","21 January 2007",NA
"Bahrain","Iraq","04 January 2009",NA
"Bahrain","Iraq","26 November 2010",NA
"Bahrain","Iraq","13 December 2011",NA
"Bahrain","Iraq","03 December 2012",NA
"Bahrain","Iraq","15 January 2013",NA
"Bahrain","Japan","06 September 2008",NA
"Bahrain","Korea DPR","04 January 2011",NA
"Bahrain","Korea Republic","04 February 2009",NA
"Korea Republic","Bahrain","10 January 2011",NA
"Morocco","Bahrain","23 June 2012",NA
"Bahrain","Oman","16 April 2001",NA
"Oman","Bahrain","10 September 2003",NA
"Oman","Bahrain","08 November 2006",NA
"Oman","Bahrain","27 January 2007",NA
"Oman","Bahrain","10 January 2009",NA
"Bahrain","Oman","26 September 2010",NA
"Oman","Bahrain","23 November 2010",NA
